id,agenda_legislativa,corporacion_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1208,6543,1,12225,NA,NA,NA,NA,NA
1209,6532,1,12246,NA,NA,NA,NA,NA
1210,6522,2,12247,NA,NA,NA,NA,NA
1211,6521,2,12248,NA,NA,NA,NA,NA
1212,6520,1,12245,NA,NA,NA,NA,NA
1213,6509,1,12193,NA,NA,NA,NA,NA
1214,6504,1,12209,NA,NA,NA,NA,NA
1215,6502,2,12208,NA,NA,NA,NA,NA
1216,6489,1,12182,NA,NA,NA,NA,NA
1217,6488,2,12206,NA,NA,NA,NA,NA
1218,6479,1,12171,NA,NA,NA,NA,NA
1219,6466,2,12205,NA,NA,NA,NA,NA
1220,6461,1,12165,NA,NA,NA,NA,NA
1221,6460,2,12175,NA,NA,NA,NA,NA
1222,6451,2,12174,NA,NA,NA,NA,NA
1223,6445,1,12173,NA,NA,NA,NA,NA
1224,6441,2,12190,NA,NA,NA,NA,NA
1225,6428,1,12155,NA,NA,NA,NA,NA
1226,6423,2,12140,NA,NA,NA,NA,NA
1227,6414,1,12154,NA,NA,NA,NA,NA
1228,6413,2,12135,NA,NA,NA,NA,NA
1229,6398,1,12158,NA,NA,NA,NA,NA
1230,6396,2,12131,NA,NA,NA,NA,NA
1231,6391,1,12159,NA,NA,NA,NA,NA
1232,6390,2,12125,NA,NA,NA,NA,NA
1233,6369,2,12117,NA,NA,NA,NA,NA
1234,6368,1,12156,NA,NA,NA,NA,NA
1235,6368,2,12157,NA,NA,NA,NA,NA
1236,6365,1,12118,NA,NA,NA,NA,NA
1237,6351,1,12122,NA,NA,NA,NA,NA
1238,6347,2,12121,NA,NA,NA,NA,NA
1239,6346,1,12120,NA,NA,NA,NA,NA
1240,6340,2,12084,NA,NA,NA,NA,NA
1241,6336,2,12080,NA,NA,NA,NA,NA
1242,6334,2,12077,NA,NA,NA,NA,NA
1243,6333,1,12075,NA,NA,NA,NA,NA
1244,6329,1,12141,NA,NA,NA,NA,NA
1245,6323,2,12070,NA,NA,NA,NA,NA
1246,6318,1,12068,NA,NA,NA,NA,NA
1247,6318,2,12069,NA,NA,NA,NA,NA
1248,6315,2,12101,NA,NA,NA,NA,NA
1249,6314,1,12096,NA,NA,NA,NA,NA
1250,6312,1,12095,NA,NA,NA,NA,NA
1251,6311,2,12100,NA,NA,NA,NA,NA
1252,6305,2,12099,NA,NA,NA,NA,NA
1253,6304,1,12094,NA,NA,NA,NA,NA
1254,6302,2,12097,NA,NA,NA,NA,NA
1255,6299,2,12044,NA,NA,NA,NA,NA
1256,6298,1,12098,NA,NA,NA,NA,NA
1257,6291,2,12046,NA,NA,NA,NA,NA
1258,6286,1,12043,NA,NA,NA,NA,NA
1259,6285,2,12045,NA,NA,NA,NA,NA
1260,6270,1,12042,NA,NA,NA,NA,NA
1261,6259,1,12004,NA,NA,NA,NA,NA
1262,6250,2,12005,NA,NA,NA,NA,NA
1263,6249,2,12025,NA,NA,NA,NA,NA
1264,6245,1,12026,NA,NA,NA,NA,NA
1265,6229,1,12008,NA,NA,NA,NA,NA
1266,6223,2,11975,NA,NA,NA,NA,NA
1267,6214,1,11970,NA,NA,NA,NA,NA
1268,6203,2,11958,NA,NA,NA,NA,NA
1269,6199,1,11971,NA,NA,NA,NA,NA
1270,6199,2,11972,NA,NA,NA,NA,NA
1271,6197,2,11979,NA,NA,NA,NA,NA
1272,6193,1,12007,NA,NA,NA,NA,NA
1273,6180,2,12006,NA,NA,NA,NA,NA
1274,6174,2,11963,NA,NA,NA,NA,NA
1275,6173,1,11962,NA,NA,NA,NA,NA
1276,6158,2,11964,NA,NA,NA,NA,NA
1277,6157,1,11960,NA,NA,NA,NA,NA
1278,6157,2,11961,NA,NA,NA,NA,NA
1279,6156,1,11959,NA,NA,NA,NA,NA
