id,created_at,updated_at,tipo_investigacion_id,descripcion,congresista_id
128,2010-07-19 21:35:13.352406,2010-07-19 21:35:13.352449,41,"La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.",98
129,2010-07-19 21:35:40.591906,2010-07-19 21:35:40.591942,41,"La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.",288
125,2010-05-19 16:02:05.793064,2013-01-28 16:16:41.873555,2,"Fue detenido (18FEB11) por orden de la Corte Suprema de Jusiticia. La Fiscalía dictó medida de aseguramiento contra el ex congresista santandereano Carlos Reinaldo Higuera Escalante, por sus presuntos vínculos con las Autodefensas, en particular, con el desmovilizado jefe paramilitar Iván Roberto Duque, alias Ernesto Báez.

En la misma providencia, la Fiscalía se abstuvo de imponer medida de aseguramiento a Carlos Julio Galvis Anaya, quien continuará vinculado al proceso.

http://www.elespectador.com/noticias/judicial/articulo-251814-parapolitica-capturan-exsenadores-galvis-e-higuera
Visto: enero 28/13",2212
123,2010-05-19 15:57:22.302955,2013-01-28 16:24:48.397170,3,"El ex senador Carlos Arturo Clavijo Vargas fue condenado a 45 meses de prisión por el delito de concierto para delinquir agravado, tras comprobarse sus nexos con las Autodefensas Unidas de Colombia. (14OCT08).

http://www.elcolombiano.com/BancoConocimiento/C/clavijo_a_pagar_por_parapolitica/clavijo_a_pagar_por_parapolitica.asp
Visto: enero 28/13",455
122,2010-05-05 16:51:10.957985,2013-01-28 16:26:03.907527,38,"Inhabilitan permanente al ex congresista Jesús Reyes Gosselin por no entregar un arma. El ex congresista no devolvió al Congreso una pistola Smith & Wesson, de calibre nueve milímetros que recibió el 13 de octubre del 2004 para su seguridad y que fue avaluada en 961.067 pesos. El ex congresista no pudo ser ubicado después de su salida del Congreso. La dirección de su residencia en Magangué (Bolívar) no existe y jamás contestó a los llamados de la Procuraduría para que respondiera en el proceso disciplinario (05MAY09).

http://colombia.noticiasabc.com/2009/03/05/inhabilitan-permanente-al-ex-congresista-jesus-reyes-gosselin-por-no-entregar-un-arma/
Visto: enero 28/13",1126
119,2010-05-04 15:43:11.646420,2013-01-28 20:52:23.916652,37,"El primero de junio de 2009, la Corte Suprema de Justicia abrió investigación preliminar contra el ex congresista y hoy embajador de Colombia en Brasil, Tony Jozame Amar, porque supuestamente recibió prebendas para favorecer la reelección (17JUN09).

http://www.caracol.com.co/noticias/judicial/inician-investigacion-preliminar-al-embajador-tony-jozame-amar/20090617/nota/830730.aspx
Visto: enero 28/13",650
117,2010-05-03 17:00:44.338996,2013-01-28 20:54:17.245447,3,"Condenado a 7 años y medio de prisión por su participación en el llamado Pacto de Ralito con las Autodefensas (08FEB12). Fue detenido el 25 de noviembre de 2008 por presuntos nexos con las Auc. Pidió la detención domiciliaria, a través de su abogado, por quebrantos de salud.

http://www.elespectador.com/noticias/judicial/articulo-325488-condenados-90-meses-de-prision-tres-excongresistas-el-pacto-de-r
Visto: enero 28/13",535
16,2010-02-15 21:46:03.511180,2013-02-01 14:17:23.678375,3,"Condenado a 72 meses de prisión por vínculos con grupos paramilitares que operaron en Norte de Santander (17SEPT09). DETENIDO e INVESTIGADO dentro del proceso de la PARAPOLÍTICA (21ABR08).

http://www.verdadabierta.com/justicia-y-paz/extraditados/1658-corte-suprema-condena-a-senador-ricardo-elcure-por-parapolitica
Visto: enero 28/13",1856
98,2010-02-22 21:14:55.373197,2013-01-30 16:23:48.424620,2,"El 30 de julio de 2008 se le abrió  INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. Fue detenido el 29 de abril de 2010 por orden de la Corte Suprema de Justicia, que lo investiga por presuntos nexos con miembros del cartel del Norte del Valle. 

http://www.semana.com/noticias-justicia/luis-carlos-restrepo-orozco-su-carrera-norte-del-valle/138234.aspx
Visto: enero 30/13",1181
126,2010-07-08 18:40:05.594204,2013-01-31 16:59:55.575469,40,"CAPTURADO (01oct09) por corrupción al sufragante. Condenado a seis años de prisión por corrupción al sufragante. (08JUL10). CAPTURADO (01OCT09).

http://www.elespectador.com/noticias/judicial/articulo-212351-condenado-seis-anos-de-carcel-congresista-fabio-arango-torres
Visto: enero 28/13",108
135,2010-09-17 15:54:22.623245,2013-01-24 21:16:47.962791,2,"Por orden de detención de la Corte Suprema de Justicia fue detenido el día 17 de septiembre de 2010, por su presunta responsabilidad en el escándalo de la parapolítica. Nader fue mencionado por Freddy Rendón Herrera, alias ‘El Alemán' entre los políticos apoyados por las Auc. 

http://www.elespectador.com/noticias/judicial/articulo-224812-parapolitica-capturado-ex-senador-mario-salomon-nader
Visto: enero 24/13",2644
62,2010-02-17 21:03:44.503780,2013-01-31 19:37:27.332849,3,"Condenado por concierto para delinquir agravado (14ABR11) a 7 años y seis meses de cárcel, por la Corte Suprema de Justicia. Capturado ese mismo día.  Estuvo detenido (18JUL07). RENUNCIO A LA CURUL para hacerle frente al proceso judicial de la parapolitica abierto por la Corte Suprema de Justicia (22ENE08).

http://www.caracol.com.co/noticias/judicial/se-entrego-el-representante-por-casanare-oscar-wilches/20070719/nota/455848.aspx
Visto: enero 31/13

http://m.elespectador.com/noticias/judicial/articulo-263184-capturado-excongresista-oscar-leonidas-wilches
Visto: enero 31/13",1011
144,2010-09-29 14:54:11.280762,2013-01-24 21:10:21.859319,3,"Condenado a 4 años y 5 meses de cárcel (01SEPT11). Detenido (28SEPT10) Investigado por el supuesto delito de concierto para delinquir con el Bloque Élmer Cárdenas de las Autodefensas Campesinas de Córdoba y Urabá (ACCU) comandado por Freddy Rincón Herrera, alias El Alemán.

http://www.elnuevosiglo.com.co/articulos/9-2011-condenados-tres-ex-congresistas.html?utm_source=twitterfeed&utm_medium=twitter
Visto: enero 24/13
",2224
89,2010-02-22 21:02:51.207429,2013-01-31 15:33:43.413209,3,"Condenado a 7 años de prisión (12OCT11) por concierto para delinquir. Fue DETENIDO (31AGO09) por el proceso de la parapolítica, es decir, concierto para delinquir agravado. Investigado desde 4 meses antes por nexos con el bloque cacique pipintá de las autodefensas. SE SUSPENDE CONDICIÓN CONGRESIONAL.

http://elespectador.com/noticias/judicial/articulo-305138-condenado-siete-anos-de-prision-excongresista-juan-pablo-sanchez
Visto: enero 31/13",1315
78,2010-02-17 21:43:06.091724,2013-01-31 16:38:44.080720,3,"CONDENADO a seis años de prisión y multa de 1.600 millones en el proceso de la PARAPOLÍTICA (Diciembre 2007) De acuerdo a información de prensa. Salió en libertad al cumplir las tres cuartas partes de la pena impuesta. (03FEB09)

http://www.verdadabierta.com/parapolitica/842-firmante-del-pacto-de-ralito-en-libertad
Visto: enero 31/13
http://www.noticiasabc.com/2009/02/03/alfonso-campo-escobar-recupero-su-libertad-2/
Visto: enero 31/13",409
143,2010-09-29 14:51:23.576799,2013-03-07 20:51:51.728868,3,"La Sala Penal de la Corte Suprema de Justicia lo condenó a ocho años de prisión en el proceso que se le adelanta por sus nexos con grupos paramilitares (06MAR13). Detenido (28SEP10) Investigado por el supuesto delito de concierto para delinquir con el Bloque Elmer Cárdenas de las Autodefensas Campesinas de Córdoba y Urabá (ACCU), comandado por Fredy Rendón Herrera, alias ‘el Alemán’.

http://www.elespectador.com/noticias/judicial/articulo-408735-parapolitica-condenan-ocho-anos-de-prision-excongresita-estanisl
Tomado: marzo 07/13

http://www.verdadabierta.com/index.php?option=com_content&id=2754
Visto: enero 24/13",1152
147,2010-10-07 21:29:14.764434,2013-01-24 21:05:35.056263,1,"Investigado preliminarmente por la Corte Suprema de Justicia sindicado de tener supuestos nexos con grupos al margen de la Ley.

http://www.caracol.com.co/nota.aspx?id=811570 
Visto: enero 24/13",26
140,2010-09-28 16:52:28.141420,2013-01-24 21:13:07.882360,3,"Condenado a siete años y seis meses (13MAY10), luego de que la Sala Penal de la Corte Suprema de Justicia comprobara los nexos que éste mantenía con el Bloque Norte de las Autodefensas Unidas de Colombia, AUC. Detenido (15MAY08)

http://www.elespectador.com/noticias/judicial/articulo-202919-condenan-ex-congresista-jorge-ivan-castro-parapolitica
Visto: enero 24/13",1290
28,2010-02-15 22:25:50.574207,2013-01-31 20:34:24.808617,24,"Estuvo en INDAGACIÓN PRELIMINAR dentro del proceso de la PARAPOLITICA. La Sala Penal de la Corte Suprema de Justicia se abstuvo de abrir investigación por falta de pruebas contra el senador conservador, Juan Manuel Corzo, investigado de manera preliminar por supuestos nexos con las autodefensas. (03SEP08)

http://www.caracol.com.co/nota.aspx?id=664008
Visto: enero 31/13",27
178,2011-07-01 15:31:32.717089,2019-05-30 18:38:04.121391,2,"El CTI de la Fiscalía capturó al político tolimense, Emilio Martínez, dentro de un proceso que lleva el Fiscal Sexto Especializado de Ibagué, por sus presuntos nexos con los paramilitares. (20MAY08)


Visto: enero 24/13",690
153,2010-12-01 21:37:59.170665,2019-05-30 19:05:36.831063,55,"Perdió su investidura por haber cedido y autorizado el uso de un tiquete aéreo a favor de un particular. Sentencia del Consejo de Estado (13NOV01).

Visto: enero 24/13",2114
