id,proyecto_ley_estado_id,congresista_id,tipo_publicacion_proyecto_ley_id,es_coordinador,activo,usercreated,usermodifed
49643,3085,1169,NA,NA,NA,NA,NA
49643,3085,688,NA,NA,NA,NA,NA
49644,3085,318,NA,NA,NA,NA,NA
49645,26107,225,NA,NA,NA,NA,NA
49646,34884,145,NA,NA,NA,NA,NA
49646,34884,612,NA,NA,NA,NA,NA
49646,34884,1145,NA,NA,NA,NA,NA
49647,34910,145,NA,NA,NA,NA,NA
49647,34910,612,NA,NA,NA,NA,NA
49647,34910,1145,NA,NA,NA,NA,NA
49648,34915,1512,NA,NA,NA,NA,NA
49649,26012,506,NA,NA,NA,NA,NA
49650,34916,506,NA,NA,NA,NA,NA
49654,34926,1123,NA,NA,NA,NA,NA
49654,34926,456,NA,NA,NA,NA,NA
49654,34926,805,NA,NA,NA,NA,NA
49655,34936,548,NA,NA,NA,NA,NA
49655,34936,1210,NA,NA,NA,NA,NA
49655,34936,1715,NA,NA,NA,NA,NA
49656,34946,1762,NA,NA,NA,NA,NA
49656,34946,2154,NA,NA,NA,NA,NA
49656,34946,1116,NA,NA,NA,NA,NA
49656,34946,2432,NA,NA,NA,NA,NA
49657,34946,1763,NA,NA,NA,NA,NA
49658,34950,774,NA,NA,NA,NA,NA
49658,34950,1626,NA,NA,NA,NA,NA
49658,34950,1242,NA,NA,NA,NA,NA
49658,34950,2344,NA,NA,NA,NA,NA
49659,34950,793,NA,NA,NA,NA,NA
49659,34950,1257,NA,NA,NA,NA,NA
49659,34950,1661,NA,NA,NA,NA,NA
49659,34950,2268,NA,NA,NA,NA,NA
49660,34950,1707,NA,NA,NA,NA,NA
49660,34950,1255,NA,NA,NA,NA,NA
49660,34950,2279,NA,NA,NA,NA,NA
49660,34950,2580,NA,NA,NA,NA,NA
29520,7519,663,NA,NA,NA,NA,NA
29520,7519,1007,NA,NA,NA,NA,NA
29521,7519,726,NA,NA,NA,NA,NA
29521,7519,1628,NA,NA,NA,NA,NA
29521,7519,325,NA,NA,NA,NA,NA
29521,7519,1195,NA,NA,NA,NA,NA
24247,10516,155,NA,NA,NA,NA,NA
24247,10516,1207,NA,NA,NA,NA,NA
49661,34952,991,NA,NA,NA,NA,NA
49661,34952,1596,NA,NA,NA,NA,NA
