id,nombres,apellidos,fechaNacimiento,municipio_id_nacimiento,profesion_id,genero_id,fecha_fallecimiento,perfil_educativo,grado_estudio_id,activo,usercreated,usermodifed,created_at,updated_at
148,Eduardo Enrique,Perez Santos,1964-06-29,41,193,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-10 01:25:00
151,Carlos Arturo,Galvez Mejia,1959-08-01,237,197,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-14 14:15:00
152,Miguel Angel,Galvis Romero,NA,NA,184,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-20 01:45:00
153,Lidio Arturo,García Turbay,1971-02-10,14,181,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-18 10:17:00
155,Rene Rodrigo,Garzon Martinez,NA,4,175,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-19 18:48:00
157,Jorge Homero,Giraldo Gutierrez,1954-01-06,138,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-18 17:20:00
158,Oscar,Gomez Agudelo,NA,NA,181,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-16 13:01:00
159,Jorge Enrique,Gomez Celis,1959-01-01,NA,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 01:02:00
160,Edgar Alfonso,Gómez Román,1953-11-03,4,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-02 11:42:00
161,Wilmer David,Gonzalez Brito,1962-03-24,275,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-02 11:43:00
162,Jorge Eduardo,Gonzalez Ocampo,NA,48,180,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-01-06 07:36:00
163,Alberto,Gordon May,1960-11-09,91,204,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-12 21:29:00
164,Juan Carlos,Granados Becerra,1973-12-16,191,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 16:13:00
165,Orlando Anibal,Guerra De La Rosa,NA,154,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-13 03:15:00
166,Carmen Cecilia,Gutierrez Mattos,1972-10-04,233,175,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-06 23:24:00
169,Hemel,Hurtado Angulo,1954-07-23,238,201,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-01-25 21:08:00
171,Luis Jairo,Ibarra Obando,NA,301,193,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-10 05:27:00
172,Ignacio Antonio,Javela Murcia,NA,NA,174,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-02-21 11:53:00
175,Marco Tulio,Leguizamon Roa,1958-02-04,92,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 22:20:00
177,Oscar Mauricio,Lizcano Arango,1976-08-12,12,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-08 23:54:00
178,Gema,Lopez De Joaqui,1955-09-24,110,174,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 20:23:00
180,David,Luna Sanchez,1975-02-27,4,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-14 14:10:00
181,Jorge Humberto,Mantilla Serrano,1960-06-05,2,174,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-16 09:41:00
182,Oscar De Jesus,Marin,1962-07-05,12,182,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-13 11:49:00
183,Rosmery,Martinez Rosales,1963-03-11,137,184,2,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-17 14:50:00
186,Jorge Ignacio,Morales Gil,1956-11-14,12,180,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-08 16:12:00
189,Pedro Mary,Muvdi Aranguena,1963-10-20,5,177,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-17 09:06:00
190,Dumith Antonio,Nader Cura,1978-07-06,15,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-24 13:13:00
192,Carlos Germán,Navas Talero,1941-04-01,4,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-05 15:21:00
193,Jose De Los Santos,Negrete Florez,1960-02-26,159,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-14 01:58:00
194,German Alonso,Olano Becerra,1968-06-21,16,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-17 18:49:00
196,Felipe Fabian,Orozco Vivas,1961-04-07,8,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-17 02:14:00
197,Hector  Javier,Osorio Botello,NA,76,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-06 04:39:00
198,Alvaro,Pacheco Alvarez,1965-06-06,47,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-15 12:56:00
200,Efren,Palacios Serna,NA,NA,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-06 17:32:00
201,Pedro Nelson,Pardo Rodriguez,1958-06-29,217,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-11 01:43:00
205,Telesforo,Pedraza Ortega,1945-07-24,232,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-02-21 22:35:00
206,Pedrito Tomás,Pereira Caballero,1970-06-14,101,174,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-03-08 02:10:00
207,Jorge Carmelo,Perez Alvarado,1960-07-16,107,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-16 01:57:00
208,Jose Gerardo,Piamba Castro,1957-07-19,282,193,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-25 03:48:00
209,Carlos Arturo,Piedrahita Cardenas,1956-11-08,218,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-17 22:42:00
210,Clara Isabel,Pinillos Abozaglo,1954-04-02,6,174,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-15 05:44:00
211,Crisanto,Pisso Mazabuel,1955-05-09,349,176,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-19 07:30:00
212,Orsinia Patricia,Polanco Jusayu,1972-09-16,NA,NA,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-10 22:02:00
213,Augusto,Posada Sanchez,1971-10-13,11,234,1,NA,NA,5,1,NA,NA,2009-11-25 09:17:00,2021-02-27 02:41:00
214,Gustavo Hernán,Puentes Díaz,1962-02-10,111,193,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-18 00:59:00
234,Ismael De Jesus,Aldana Vivas,1946-12-25,230,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 10:12:00
240,Jorge Julian,Silva Meche,1960-06-23,50,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-12 20:28:00
242,Mario,Suarez Florez,1955-10-17,2,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-02-12 13:22:00
244,Fernando Eustacio,Tamayo Tamayo,1950-02-13,249,185,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-11 05:32:00
245,Pedro Pablo,Trujillo Ramirez,1960-07-17,235,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-26 01:09:00
246,Nicolas,Uribe Rueda,1977-10-01,4,174,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-12 16:44:00
247,Maria Isabel,Urrutia Ocoro,1965-03-25,89,184,2,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-14 01:41:00
248,Juan Carlos,Valencia Montoya,1967-04-13,11,175,1,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-18 15:28:00
249,Luis Fernando,Vanegas Queruz,NA,174,180,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-01 20:09:00
250,Victor Julio,Vargas Polo,1947-01-01,228,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-07 20:47:00
251,Germán,Varón Cotrino,1964-07-06,4,174,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-15 04:22:00
252,William,Velez Mesa,NA,179,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-08 02:56:00
254,Manuel Jose,Vives Henriquez,NA,176,193,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-19 05:47:00
255,Zaida Marina,Yanet Lindarte,1957-01-01,6,180,2,NA,NA,11,1,NA,NA,2009-11-25 09:17:00,2021-03-06 05:06:00
256,Jaime Armando,Yepes Martínez,1952-10-17,172,174,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-17 07:33:00
257,Bérner León,Zambrano Eraso,1958-08-15,170,185,1,NA,NA,4,1,NA,NA,2009-11-25 09:17:00,2021-03-12 14:08:00
258,Jaime Alonso,Zuluaga Aristizabal,1959-04-17,169,175,1,NA,NA,16,1,NA,NA,2009-11-25 09:17:00,2021-03-10 19:11:00
259,Carlos Alberto,Zuluaga Diaz,1956-03-14,12,193,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-03-13 13:59:00
260,Mauricio Maria De Eucaristia,Zuluaga Ruiz,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2009-11-25 09:17:00,2021-02-12 23:21:00
261,Santiago,Morales Saenz,1974-04-14,2,174,1,NA,NA,16,1,NA,NA,2009-11-27 17:43:00,2018-02-21 19:48:00
271,Pierre,Onzaga Ramirez,NA,NA,NA,1,NA,NA,16,1,NA,NA,2010-01-10 19:39:00,2018-01-22 16:10:00
272,Juan Camilo,Montes Pineda,NA,NA,NA,1,NA,NA,16,1,NA,NA,2010-01-10 20:34:00,2013-11-15 14:15:00
273,William Hernando,Lopez Zuleta,1963-07-09,4,193,1,NA,NA,NA,1,NA,NA,2010-01-10 21:53:00,2018-01-26 15:11:00
274,Wilson Benjamin,Rey,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2010-01-10 21:59:00,2013-11-15 14:14:00
275,Constanza Isabel,Ramirez Acevedo,NA,NA,NA,2,NA,NA,2,1,NA,NA,2010-01-10 22:12:00,2018-01-26 18:50:00
276,Andres Felipe,Guerra Hoyos,NA,NA,NA,1,NA,NA,16,1,NA,NA,2010-01-10 22:17:00,2017-08-22 16:55:00
278,William Eduardo,Gonzalez Mahecha,NA,NA,NA,1,NA,NA,16,1,NA,NA,2010-01-10 22:41:00,2018-01-26 17:50:00
279,Edil Mauricio,Beltran Pardo,1972-01-12,29,174,1,NA,NA,16,1,NA,NA,2010-01-10 22:47:00,2018-01-26 17:41:00
280,Emel,Rojas Castillo,NA,NA,NA,1,NA,NA,16,1,NA,NA,2010-01-10 23:01:00,2013-11-15 14:14:00
