id,control_politico_id,activo,usercreated,usermodifed,created_at,updated_at,congresista_id
56835,590,NA,NA,NA,NA,NA,1395
56836,590,NA,NA,NA,NA,NA,1064
56838,540,NA,NA,NA,NA,NA,1370
56839,540,NA,NA,NA,NA,NA,1219
56857,564,NA,NA,NA,NA,NA,1477
56858,564,NA,NA,NA,NA,NA,1395
56859,564,NA,NA,NA,NA,NA,1064
56860,564,NA,NA,NA,NA,NA,1606
56861,564,NA,NA,NA,NA,NA,1664
56862,564,NA,NA,NA,NA,NA,1374
56863,564,NA,NA,NA,NA,NA,977
56864,583,NA,NA,NA,NA,NA,992
56865,583,NA,NA,NA,NA,NA,1123
56868,591,NA,NA,NA,NA,NA,857
56869,591,NA,NA,NA,NA,NA,231
56870,591,NA,NA,NA,NA,NA,1822
56871,591,NA,NA,NA,NA,NA,962
56872,591,NA,NA,NA,NA,NA,1666
56873,565,NA,NA,NA,NA,NA,857
56874,565,NA,NA,NA,NA,NA,231
56875,565,NA,NA,NA,NA,NA,637
