id,cuatrienio_id,comision_id,congresista_id,cargo_legislativo_id_comision,fecha_inicio,fecha_fin,activo,usercreated,usermodifed,created_at,updated_at
253,1,13,99,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
254,1,8,734,NA,20/07/98,27/10/99,T,,,17/01/10 17:29,02/09/11 15:59
255,1,7,92,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
256,1,14,703,NA,29/07/99,28/10/99,T,,,17/01/10 17:29,02/09/11 15:57
257,1,12,834,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,24/05/10 15:55
258,1,11,840,NA,01/12/99,30/04/00,T,,,17/01/10 17:29,02/09/11 19:37
259,1,11,766,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,03/06/10 21:01
260,1,11,808,NA,20/07/98,10/07/01,T,,,17/01/10 17:29,04/06/10 16:45
261,1,11,761,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,04/06/10 19:48
262,1,8,841,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,04/06/10 21:03
263,1,3,774,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,04/06/10 21:26
264,1,14,796,NA,20/07/98,22/03/00,T,,,17/01/10 17:29,02/09/11 19:40
265,1,10,210,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 16:35
266,1,12,884,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 19:58
267,1,14,806,NA,20/07/98,31/10/00,T,,,17/01/10 17:29,02/09/11 19:43
268,1,14,679,NA,01/11/00,19/07/02,T,,,17/01/10 17:29,02/09/11 19:43
269,1,5,810,NA,20/07/98,30/06/01,T,,,17/01/10 17:29,02/09/11 19:49
270,1,3,788,NA,07/09/99,07/12/99,T,,,17/01/10 17:29,02/09/11 20:16
271,1,1,720,NA,08/04/99,08/07/99,T,,,17/01/10 17:29,02/09/11 20:18
272,1,7,821,NA,01/08/99,01/02/00,T,,,17/01/10 17:29,14/09/11 20:02
273,1,9,744,NA,01/10/99,31/12/99,T,,,17/01/10 17:29,15/09/11 14:22
274,1,9,683,NA,20/07/98,24/05/00,T,,,17/01/10 17:29,15/09/11 14:47
275,1,9,878,NA,20/07/00,20/01/01,T,,,17/01/10 17:29,15/09/11 18:26
276,1,7,770,NA,15/12/98,16/03/99,T,,,17/01/10 17:29,15/09/11 21:15
277,1,9,682,NA,01/02/99,19/07/99,T,,,17/01/10 17:29,15/09/11 21:21
278,1,10,764,NA,01/04/00,31/07/00,T,,,17/01/10 17:29,16/09/11 17:26
279,1,10,797,NA,07/11/01,07/02/02,T,,,17/01/10 17:29,16/09/11 17:39
280,1,7,855,NA,01/10/99,31/12/99,T,,,17/01/10 17:29,16/09/11 21:17
281,1,10,740,NA,01/01/01,31/03/01,T,,,17/01/10 17:29,19/09/11 16:55
282,1,10,722,NA,01/08/99,31/10/99,T,,,17/01/10 17:29,19/09/11 16:20
283,1,10,783,NA,20/07/99,31/07/00,T,,,17/01/10 17:29,19/09/11 18:58
284,1,9,851,NA,20/07/00,19/07/00,T,,,17/01/10 17:29,19/09/11 20:10
285,1,10,880,NA,20/01/00,06/09/01,T,,,17/01/10 17:29,21/09/11 15:05
286,1,6,705,NA,01/02/02,19/07/02,T,,,17/01/10 17:29,26/09/11 16:54
287,1,6,833,NA,01/04/01,30/06/01,T,,,17/01/10 17:29,26/09/11 17:12
288,1,2,689,NA,20/07/98,05/06/01,T,,,17/01/10 17:29,26/09/11 17:56
289,1,2,704,NA,01/04/00,28/07/00,T,,,17/01/10 17:29,26/09/11 18:40
290,1,6,712,NA,28/07/99,28/10/99,T,,,17/01/10 17:29,04/10/11 20:32
291,1,2,822,NA,01/08/99,31/12/00,T,,,17/01/10 17:29,04/10/11 21:38
292,1,6,765,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,04/10/11 21:49
