id|congresista_id|tipo_investigacion_id|descripcion|activo|usercreated|usermodifed|created_at|updated_at
127|60|41|La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.|TRUE|NA|NA|2010-07-19 21:33:17|2010-07-19 21:33:17
128|98|41|La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.|TRUE|NA|NA|2010-07-19 21:35:13|2010-07-19 21:35:13
129|288|41|La cifra de votos obtenidos corresponde al total de votos del partido, dado que éste inscribió una lista cerrada.|TRUE|NA|NA|2010-07-19 21:35:41|2010-07-19 21:35:41
125|2212|2|"Fue detenido (18FEB11) por orden de la Corte Suprema de Jusiticia. La Fiscalía dictó medida de aseguramiento contra el ex congresista santandereano Carlos Reinaldo Higuera Escalante, por sus presuntos vínculos con las Autodefensas, en particular, con el desmovilizado jefe paramilitar Iván Roberto Duque, alias Ernesto Báez.

En la misma providencia, la Fiscalía se abstuvo de imponer medida de aseguramiento a Carlos Julio Galvis Anaya, quien continuará vinculado al proceso.

http://www.elespectador.com/noticias/judicial/articulo-251814-parapolitica-capturan-exsenadores-galvis-e-higuera
Visto: enero 28/13"|TRUE|NA|NA|2010-05-19 16:02:06|2013-01-28 16:16:42
123|455|3|"El ex senador Carlos Arturo Clavijo Vargas fue condenado a 45 meses de prisión por el delito de concierto para delinquir agravado, tras comprobarse sus nexos con las Autodefensas Unidas de Colombia. (14OCT08).

http://www.elcolombiano.com/BancoConocimiento/C/clavijo_a_pagar_por_parapolitica/clavijo_a_pagar_por_parapolitica.asp
Visto: enero 28/13"|TRUE|NA|NA|2010-05-19 15:57:22|2013-01-28 16:24:48
122|1126|38|"Inhabilitan permanente al ex congresista Jesús Reyes Gosselin por no entregar un arma. El ex congresista no devolvió al Congreso una pistola Smith & Wesson, de calibre nueve milímetros que recibió el 13 de octubre del 2004 para su seguridad y que fue avaluada en 961.067 pesos. El ex congresista no pudo ser ubicado después de su salida del Congreso. La dirección de su residencia en Magangué (Bolívar) no existe y jamás contestó a los llamados de la Procuraduría para que respondiera en el proceso disciplinario (05MAY09).

http://colombia.noticiasabc.com/2009/03/05/inhabilitan-permanente-al-ex-congresista-jesus-reyes-gosselin-por-no-entregar-un-arma/
Visto: enero 28/13"|TRUE|NA|NA|2010-05-05 16:51:11|2013-01-28 16:26:04
119|650|37|"El primero de junio de 2009, la Corte Suprema de Justicia abrió investigación preliminar contra el ex congresista y hoy embajador de Colombia en Brasil, Tony Jozame Amar, porque supuestamente recibió prebendas para favorecer la reelección (17JUN09).

http://www.caracol.com.co/noticias/judicial/inician-investigacion-preliminar-al-embajador-tony-jozame-amar/20090617/nota/830730.aspx
Visto: enero 28/13"|TRUE|NA|NA|2010-05-04 15:43:12|2013-01-28 20:52:24
117|535|3|"Condenado a 7 años y medio de prisión por su participación en el llamado Pacto de Ralito con las Autodefensas (08FEB12). Fue detenido el 25 de noviembre de 2008 por presuntos nexos con las Auc. Pidió la detención domiciliaria, a través de su abogado, por quebrantos de salud.

http://www.elespectador.com/noticias/judicial/articulo-325488-condenados-90-meses-de-prision-tres-excongresistas-el-pacto-de-r
Visto: enero 28/13"|TRUE|NA|NA|2010-05-03 17:00:44|2013-01-28 20:54:17
16|1856|3|"Condenado a 72 meses de prisión por vínculos con grupos paramilitares que operaron en Norte de Santander (17SEPT09). DETENIDO e INVESTIGADO dentro del proceso de la PARAPOLÍTICA (21ABR08).

http://www.verdadabierta.com/justicia-y-paz/extraditados/1658-corte-suprema-condena-a-senador-ricardo-elcure-por-parapolitica
Visto: enero 28/13"|TRUE|NA|NA|2010-02-15 21:46:04|2013-02-01 14:17:24
98|1181|2|"El 30 de julio de 2008 se le abrió  INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA. Fue detenido el 29 de abril de 2010 por orden de la Corte Suprema de Justicia, que lo investiga por presuntos nexos con miembros del cartel del Norte del Valle. 

http://www.semana.com/noticias-justicia/luis-carlos-restrepo-orozco-su-carrera-norte-del-valle/138234.aspx
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22 21:14:55|2013-01-30 16:23:48
126|108|40|"CAPTURADO (01oct09) por corrupción al sufragante. Condenado a seis años de prisión por corrupción al sufragante. (08JUL10). CAPTURADO (01OCT09).

http://www.elespectador.com/noticias/judicial/articulo-212351-condenado-seis-anos-de-carcel-congresista-fabio-arango-torres
Visto: enero 28/13"|TRUE|NA|NA|2010-07-08 18:40:06|2013-01-31 16:59:56
