id,nombre,departamento_id,activo,usercreated,usermodifed,created_at,updated_at
391,Tello,18,NA,NA,NA,NA,NA
392,El Cocuy,7,NA,NA,NA,NA,NA
393,María la Baja,6,NA,NA,NA,NA,NA
394,Unguía,13,NA,NA,NA,NA,NA
395,Trujillo,32,NA,NA,NA,NA,NA
396,Zapatoca,29,NA,NA,NA,NA,NA
397,Santa Rosalía,34,NA,NA,NA,NA,NA
398,Altamira,18,NA,NA,NA,NA,NA
399,Firavitoba,7,NA,NA,NA,NA,NA
400,Paz del Río,7,NA,NA,NA,NA,NA
401,Armero,31,NA,NA,NA,NA,NA
402,Santo Tomás,5,NA,NA,NA,NA,NA
403,Olaya,11,NA,NA,NA,NA,NA
404,Santander de Quilichao,11,NA,NA,NA,NA,NA
405,Pelaya,12,NA,NA,NA,NA,NA
406,Valencia,14,NA,NA,NA,NA,NA
407,La Vega,15,NA,NA,NA,NA,NA
408,Soacha,15,NA,NA,NA,NA,NA
409,Piedras,31,NA,NA,NA,NA,NA
410,Murillo,31,NA,NA,NA,NA,NA
411,Roncesvalles,31,NA,NA,NA,NA,NA
412,Nemocón,15,NA,NA,NA,NA,NA
413,Funza,15,NA,NA,NA,NA,NA
414,Sibaté,15,NA,NA,NA,NA,NA
415,Cota,15,NA,NA,NA,NA,NA
416,San José del Guaviare,17,NA,NA,NA,NA,NA
417,El Retorno,17,NA,NA,NA,NA,NA
418,Palermo,18,NA,NA,NA,NA,NA
419,La Florida,23,NA,NA,NA,NA,NA
420,Arboledas,24,NA,NA,NA,NA,NA
421,Labateca,24,NA,NA,NA,NA,NA
422,Turmequé,7,NA,NA,NA,NA,NA
423,Génova,26,NA,NA,NA,NA,NA
424,Anserma,8,NA,NA,NA,NA,NA
425,Carurú,33,NA,NA,NA,NA,NA
426,Pinchote,29,NA,NA,NA,NA,NA
427,Villanueva,6,NA,NA,NA,NA,NA
428,Paipa,7,NA,NA,NA,NA,NA
429,Balboa,27,NA,NA,NA,NA,NA
430,Tipacoque,7,NA,NA,NA,NA,NA
431,San Pedro,30,NA,NA,NA,NA,NA
432,Pácora,8,NA,NA,NA,NA,NA
433,Páez,11,NA,NA,NA,NA,NA
434,Granada,22,NA,NA,NA,NA,NA
435,Salento,26,NA,NA,NA,NA,NA
436,Bruselas,36,NA,NA,NA,NA,NA
438,Momil,14,NA,NA,NA,NA,NA
439,Villanueva,10,NA,NA,NA,NA,NA
440,Albania,19,NA,NA,NA,NA,NA
441,Vigia del Fuerte,3,NA,NA,NA,NA,NA
442,Marquetalia,8,NA,NA,NA,NA,NA
443,Aquitania,7,NA,NA,NA,NA,NA
444,Turbaco,6,NA,NA,NA,NA,NA
445,La Ceja,3,NA,NA,NA,NA,NA
446,Herveo,31,NA,NA,NA,NA,NA
447,Manta,15,NA,NA,NA,NA,NA
448,Madrid,15,NA,NA,NA,NA,NA
