id,nombre,activo,usercreated,usermodifed,created_at,updated_at
134,FNCV - Fondo Nacional de Caminos Vecinales,NA,NA,NA,15/03/10 6:13,01/09/10 14:45
135,FOGACOOP - Fondo de Garantías de Entidades Cooperativas,NA,NA,NA,15/03/10 6:13,01/09/10 14:40
136,ICETEX - Instituto Colombiano de Crédito y Estudios Técnicos en el Exterior,NA,NA,NA,15/03/10 6:13,01/09/10 15:59
137,FENALTRASE - Federación Nacional de Trabajadores al Servicio del Estado,NA,NA,NA,15/03/10 6:13,01/09/10 14:35
140,SINTRAIMPA - Sindicato Nacional de Trabajadores Públicos del INPA - Instituto Nacional de Pesca y Acuicultura,NA,NA,NA,15/03/10 6:13,03/09/10 16:58
142,SINTRADIN - Sindicato Nacional de Trabajadores del Incora,NA,NA,NA,15/03/10 6:13,03/09/10 16:22
146,CONALGODON - Confederación Colombiana del Algodón,NA,NA,NA,15/03/10 6:13,25/08/10 15:58
147,Consejo de Estado,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
148,Corte Suprema de Justicia,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
149,FF.MM - Fuerzas Militares de Colombia,NA,NA,NA,15/03/10 6:13,31/08/10 15:40
151,Fondo para la Infraestructura Carcelaria,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
152,Vicepresidencia de la República,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
153,Junta Directiva de Ecopetrol,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
157,IGAC - Instituto Geográfico Agustín Codazzi,NA,NA,NA,15/03/10 6:13,01/09/10 16:02
158,INPA - Instituto Nacional de Pesca y Agricultura,NA,NA,NA,15/03/10 6:13,06/09/10 14:33
159,INCORA - Instituto Colombiano de la Reforma Agraria,NA,NA,NA,15/03/10 6:13,01/09/10 15:29
161,CORPOICA - Corporación Colombiana de Investigación Agropecuaria,NA,NA,NA,15/03/10 6:13,25/08/10 15:55
166,IIAP - Instituto de Investigaciones Ambientales del Pací­fico,NA,NA,NA,15/03/10 6:13,01/09/10 16:07
167,Instituto de Investigaciones de Recursos Biológicos Alexander Von Humboldt,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
168,ISAGEN S.A ESP - Empresa de Servicios Públicos,NA,NA,NA,15/03/10 6:13,01/09/10 16:13
170,Instituto de Investigaciones y Promoción de Soluciones Energéticas,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
171,INGEOMINAS - Instituto Colombiano de Geología y Minería,NA,NA,NA,15/03/10 6:13,01/09/10 15:56
176,CVC - Corporación Autónoma Regional del Valle del Cauca,NA,NA,NA,15/03/10 6:13,25/08/10 14:34
178,Instituto Municipal de Tránsito y Transporte de Barranquilla,NA,NA,NA,15/03/10 6:13,02/09/10 19:48
156,ACP - Asociación Colombiana del Petróleo,NA,NA,NA,15/03/10 6:13,23/08/17 15:19
182,DAS - Departamento Administrativo de Seguridad,NA,NA,NA,15/03/10 6:13,26/08/10 20:10
184,DIJIN - Dirección de Policia Judicial,NA,NA,NA,15/03/10 6:13,26/08/10 20:03
185,Gases del Caribe S.A. ESP - Empresa de Servicios Públicos,NA,NA,NA,15/03/10 6:13,01/09/10 15:15
186,EMSIRVA - Empresa de Recolección de Basuras de Cali,NA,NA,NA,15/03/10 6:13,31/08/10 15:36
187,Serviambientales S.A.,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
188,Alumbrado de Cali,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
190,Metro de Medellí­n,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
193,ADPOSTAL - Administración Postal Nacional,NA,NA,NA,15/03/10 6:13,25/08/10 14:38
194,ETB S.A. ESP - Empresa de Servicios Públicos de Bogotá,NA,NA,NA,15/03/10 6:13,31/08/10 20:12
195,FIDUIFI S.A - Sociedad Fiduciaria Industrial S.A,NA,NA,NA,15/03/10 6:13,27/08/10 16:28
196,"Dirección de Reclutamiento, Ejército Nacional",NA,NA,NA,15/03/10 6:13,02/09/10 20:54
197,CAPRECOM - Caja de Previsión Social de Comunicaciones,NA,NA,NA,15/03/10 6:13,30/08/10 16:06
1162,"Alcaldía de Balboa, Cauca",NA,NA,NA,08/11/10 15:24,07/06/17 18:39
1164,"Alcaldía de Argelia, Cauca",NA,NA,NA,08/11/10 15:29,07/06/17 18:39
198,ASONAL JUDICIAL - Asociación Nacional de Funcionarios y Empleados de la Rama Judicial,NA,NA,NA,15/03/10 6:13,07/06/17 19:45
116,Consejería Presidencial para la Equidad de la Mujer,NA,NA,NA,15/03/10 6:13,08/06/17 20:58
172,FENALCO - Federación Nacional de Comerciantes,NA,NA,NA,15/03/10 6:13,08/06/17 14:36
192,Gobernación de Antioquia,NA,NA,NA,15/03/10 6:13,08/06/17 14:55
132,Gobernación de La Guajira,NA,NA,NA,15/03/10 6:13,08/06/17 15:00
173,Gobernación del Meta,NA,NA,NA,15/03/10 6:13,08/06/17 15:01
181,INVIMA - Instituto Nacional de Vigilancia de Medicamentos y Alimentos,NA,NA,NA,15/03/10 6:13,08/06/17 15:35
169,UPME - Unidad de Planeación Minero Energética,NA,NA,NA,15/03/10 6:13,08/06/17 16:33
1761,Seguridad Ciudadana,NA,NA,NA,10/08/17 14:58,10/08/17 14:58
200,Movimiento Redepaz,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
201,Fundación Social,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
202,ONIC - Organización Nacional Indígena de Colombia,NA,NA,NA,15/03/10 6:13,02/09/10 20:01
1807,Medimas EPS,NA,NA,NA,18/01/18 19:46,18/01/18 19:46
203,Asuntos Consulares y Comunidades Colombianas en el exterior,NA,NA,NA,15/03/10 6:13,31/08/10 14:19
204,FOSYGA - Fondo de Solidaridad y Garantías,NA,NA,NA,15/03/10 6:13,01/09/10 14:53
206,Federación de Hospitales Públicos y Empresas Sociales del Estado,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
207,Salud y Loterí­as,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
208,CODENSA S.A. ESP - Empresa de Servicios Públicos,NA,NA,NA,15/03/10 6:13,25/08/10 14:07
209,Gobernación de Valle del Cauca,NA,NA,NA,15/03/10 6:13,02/09/10 19:40
210,EMCALI EICE ESP - Empresas Municipales de Cali,NA,NA,NA,15/03/10 6:13,02/09/10 16:30
211,TeleCaribe,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
212,Telecafé,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
213,TeleAntioquia,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
214,Embajada de Estados Unidos en Colombia,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
215,Superintendencia de Notariado y Registro,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
216,ELECTRICARIBE S.A. ESP - Empresa de Servicios Públicos del Caribe,NA,NA,NA,15/03/10 6:13,27/08/10 15:21
217,Electrocosta S.A. ESP - Empresa de Servicios Públicos,NA,NA,NA,15/03/10 6:13,31/08/10 19:55
1762,DISEC- Dirección de Seguridad Ciudadana de la Policía Nacional,NA,NA,NA,10/08/17 15:01,10/08/17 15:01
220,DIMAR - Dirección General Marítima,NA,NA,NA,15/03/10 6:13,26/08/10 20:16
221,CEJ - Corporación Excelencia por la Justicia,NA,NA,NA,15/03/10 6:13,25/08/10 16:02
225,Comunidad Indígena Waya Wayuu,NA,NA,NA,15/03/10 6:13,02/09/10 20:57
226,Comunidad Indígena Sumain Ichi,NA,NA,NA,15/03/10 6:13,02/09/10 20:58
1167,"Alcaldía de Florencia, Cauca",NA,NA,NA,08/11/10 15:34,08/11/10 15:34
228,NORTEL - Northern Telecom Limited,NA,NA,NA,15/03/10 6:13,02/09/10 19:56
229,Empresa Colombiana de Lí­neas Férreas,NA,NA,NA,15/03/10 6:13,31/08/10 15:22
1168,CRC - Corporación Autónoma Regional del Cauca,NA,NA,NA,08/11/10 15:38,08/11/10 15:38
231,Bancoldex,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
232,Proexport,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
233,CEA - Consejo de Empresas Americanas,NA,NA,NA,15/03/10 6:13,25/08/10 16:09
234,Secretaria de Salud de Bogotá,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
1169,Gobernación de Guainía,NA,NA,NA,08/11/10 16:25,08/11/10 16:25
1764,Departamento para la Prosperidad Social,NA,NA,NA,17/08/17 14:04,17/08/17 14:04
237,ASOCAJAS - Asociación de Cajas de Compensación Familiar,NA,NA,NA,15/03/10 6:13,25/08/10 15:41
1170,"Alcaldía de Puerto Inírida, Guainía.",NA,NA,NA,08/11/10 16:31,08/11/10 16:31
240,Dirección de Armas del Ministerio de Defensa,NA,NA,NA,15/03/10 6:13,31/08/10 14:46
241,CTI - Cuerpo Técnico de Investigación,NA,NA,NA,15/03/10 6:13,31/08/10 14:22
248,Patrimonio Cultural del Ministerio de la Cultura,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
1766,Alta Consejería Presidencial para el Posconflicto,NA,NA,NA,17/08/17 14:15,17/08/17 14:15
252,UAEAC - Unidad Administrativa Especial de Aeronáutica Civil,NA,NA,NA,15/03/10 6:13,06/09/10 12:49
253,INCODER - Instituto Colombiano para el Desarrollo Rural,NA,NA,NA,15/03/10 6:13,01/09/10 15:54
254,Salvación Agropecuaria,NA,NA,NA,15/03/10 6:13,06/09/10 14:19
256,IDCT - Instituto Distrital de Cultura y Turismo,NA,NA,NA,15/03/10 6:13,01/09/10 16:01
257,ANH - Agencia Nacional de Hidrocarburos,NA,NA,NA,15/03/10 6:13,24/08/10 12:49
258,Sindicato de la EAAB - Empresa de Acueducto y Alcantarillado de Bogotá,NA,NA,NA,15/03/10 6:13,02/09/10 21:49
259,EPM - Empresas Públicas de Medellín,NA,NA,NA,15/03/10 6:13,31/08/10 15:34
1768,Club América del Cali,NA,NA,NA,17/08/17 17:38,17/08/17 17:38
269,SUPERSOLIDARIA - Superintendencia de la Economía Solidaria,NA,NA,NA,15/03/10 6:13,03/09/10 17:05
270,Hospital Universitario de Cartagena,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
271,Gobernación de Santander,NA,NA,NA,15/03/10 6:13,06/09/10 14:58
272,"Alcaldía de Yondó, Antioquia",NA,NA,NA,15/03/10 6:13,02/09/10 20:41
273,CORFIVALLE - Corporación Financiera del Valle,NA,NA,NA,15/03/10 6:13,26/08/10 19:54
1769,Deporitivo Cali,NA,NA,NA,17/08/17 17:39,17/08/17 17:39
1770,Defensoria del Pubelo,NA,NA,NA,22/08/17 20:42,22/08/17 20:42
