id,created_at,updated_at,nombre,activo,usermodifed,usercreated
182,2012/09/03 14:34:15,2012/09/03 14:34:15,"Ministra de Justicia y del Derecho, Ruth Stella Correa Palacio",NA,NA,NA
185,2012/10/04 23:53:52,2012/10/04 23:53:52,"Ministro del Interior, Fernando Carrillo Flórez",NA,NA,NA
186,2012/10/10 17:49:11,2012/10/10 17:49:11,"Ministro de Minas y Energías, Federico Rengifo Vélez",NA,NA,NA
187,2012/10/18 16:45:42,2012/10/18 16:45:42,"Ministro de Ambiente y Desarrollo Sostenible, Juan Gabriel Uribe",NA,NA,NA
188,2012/11/14 19:57:30,2012/11/14 19:57:30,"Ministra de Transporte, Cecilia Alvarez",NA,NA,NA
190,2013/02/14 15:14:26,2013/02/14 15:14:26,"Presidente del Consejo Superior de la Judicatura, Ricardo Monroy Church",NA,NA,NA
191,2013/03/19 18:39:37,2013/03/19 18:39:37,"Defensor del Pueblo, Jorge Armando Otálora",NA,NA,NA
192,2013/03/20 18:24:16,2013/03/20 18:24:16,"Presidente del Consejo Nacional Electoral, Carlos Ardila Ballesteros",NA,NA,NA
194,2013/04/04 16:06:52,2013/04/04 16:06:52,"Fiscal General de la Nación, Eduardo Montealegre Lynett",NA,NA,NA
195,2013/08/14 21:42:00,2013/08/14 21:42:55,"Presidenta Consejo Nacional Electoral, Nora Tapia Montoya",NA,NA,NA
197,2013/08/15 15:54:51,2013/08/15 15:54:51,"Wilson Ruiz Orejuela, Presidente Sala Jurisdiccional Disciplinaria Consejo Superior de la Judicatura",NA,NA,NA
196,2013/08/15 15:49:58,2013/08/15 15:57:06,"Pedro Sanabria Buitrago, Presidente Consejo Superior de la Judicatura",NA,NA,NA
198,2013/08/15 16:40:20,2013/08/15 16:42:35,"Edgar Carlos Sanabria Melo, Presidente Sala Administrativa Consejo Superior de la Judicatura",NA,NA,NA
201,2013/10/30 18:40:33,2013/11/13 17:11:54,"Ministro de Justicia y del Derecho, Alfonso Gómez Méndez",NA,NA,NA
199,2013/09/16 18:23:14,2013/11/13 17:20:36,"Ministro de Minas y Energía, Federico Renjifo Vélez",NA,NA,NA
193,2013/03/20 18:25:48,2013/11/13 19:17:44,"Vicepresidente del Consejo Nacional Electoral, Nora Tapia Montoya",NA,NA,NA
113,2011/01/31 21:33:37,2013/11/13 19:27:30,"Ministro de Trabajo y Seguridad Social, Hernando Yepes Arcila",NA,NA,NA
109,2011/01/25 18:44:35,2013/11/13 19:30:17,"Viceministro de Medio Ambiente, Luis Fernando Gaviria Trujillo",NA,NA,NA
202,2013/11/06 21:36:13,2013/11/13 19:31:58,"Ministro del Interior, Aurelio Iragorri Valencia",NA,NA,NA
200,2013/10/03 19:01:49,2013/11/13 19:49:57,"Ministro de Agricultura y Desarrollo Rural, Rubén Darío Lizarralde",NA,NA,NA
203,2014/04/02 11:30:35,2014/04/02 11:30:35,"Ministro de Vivienda, Luis Felipe Henao Cardona",NA,NA,NA
204,2014/05/16 13:58:26,2014/05/16 13:58:26,"Ministro de Comercio, Industria y Turismo, Santiago Rojas",NA,NA,NA
207,2014/08/12 11:20:21,2014/08/12 11:20:21,"Ministro de Trabajo, Luis Eduardo Garzón",NA,NA,NA
206,2014/08/12 11:18:30,2014/08/12 11:19:01,"Ministro de Ambiente y Desarrollo Sostenible, Gabriel Vallejo López",NA,NA,NA
208,2014/08/12 11:22:19,2014/08/12 11:22:19,"Ministro de Minas y Energía, Tomás González Estrada",NA,NA,NA
205,2014/08/12 11:14:31,2014/08/12 11:24:50,"Ministro del Interior, Juan Fernando Cristo Bustos",NA,NA,NA
209,2014/08/12 11:24:37,2014/08/12 11:25:06,"Ministro de Justicia y del Derecho, Yesid Reyes Alvarado",NA,NA,NA
210,2014/08/12 11:26:37,2014/08/12 11:26:47,"Ministra de Comercio, Industria y Turismo, Cecilia Álvarez-Correa Glen",NA,NA,NA
213,2014/08/12 11:30:42,2014/08/12 11:35:54,"Ministro de Agricultura y Desarrollo Rural, Aurelio Iragorri Valencia",NA,NA,NA
214,2014/08/12 11:38:39,2014/08/12 11:38:39,"Director Departamento Nacional de Planeación, DNP, Simón Gaviria",NA,NA,NA
212,2014/08/12 11:29:38,2014/08/12 11:39:39,"Ministra de Educación Nacional, Gina Parody",NA,NA,NA
216,2014/09/15 16:19:52,2014/09/15 16:19:52,"Viceministra de Relaciones Exteriores, Patty Londoño Jaramillo",NA,NA,NA
211,2014/08/12 11:28:21,2014/11/20 20:25:38,"Ministra de Transporte, Natalia Abello Vives",NA,NA,NA
217,2015/05/06 18:19:50,2015/05/06 18:19:50,"Presidente Consejo Nacional Electoral, Emiliano Rivera Bravo",NA,NA,NA
