id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
10521,2018/06/06 15:00:00,2018-06-06,Acta 22 Gac 571/18,7,NA,NA,NA,NA,NA,NA
10533,2018/06/12 15:00:00,2018-06-12,Acta 23 Gac 571/18 No hubo quórum,7,NA,NA,NA,NA,NA,NA
10526,2018/06/12 13:00:00,2018-06-12,Acta 8 Gac 604/18,7,NA,NA,NA,NA,NA,NA
10505,2018/06/06 15:30:00,2018-06-06,Acta 6 Gac 612/18,7,NA,NA,NA,NA,NA,NA
10474,2018/05/18 12:30:00,2018-05-18,Acta 288 Gac 642/18,7,NA,NA,NA,NA,NA,NA
10497,2018/05/30 15:30:00,2018-05-30,Acta 5 Gac 612/18 Se anunciaron proyectos,7,NA,NA,NA,NA,NA,NA
10501,2018/05/30 19:00:00,2018-05-30,Acta 289 Gac 643/18,7,NA,NA,NA,NA,NA,NA
10516,2018/06/05 19:00:00,2018-06-05,Acta 290 Gac 644/18,7,NA,NA,NA,NA,NA,NA
10479,2018/05/22 15:00:00,2018-05-22,Acta 62 Gac 656/18,7,NA,NA,NA,NA,NA,NA
10578,2018/04/04 15:30:00,2018-04-04,Acta 23 Gac 442/18 Duplicado,7,NA,NA,NA,NA,NA,NA
10638,2018/08/22 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10588,2018/07/24 20:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10590,2018/07/25 15:00:00,NA,Duplicado,8,NA,NA,NA,NA,NA,NA
10605,2018/08/08 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10602,2018/08/08 15:00:00,NA,Se aplazó,8,NA,NA,NA,NA,NA,NA
10608,2018/08/16 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10613,2018/08/08 18:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10614,2018/08/14 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10621,2018/08/15 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10642,2018/08/28 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10625,2018/08/15 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10630,2018/08/21 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10633,2018/08/22 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10660,2018/08/29 15:00:00,NA,Aplazada,8,NA,NA,NA,NA,NA,NA
10670,2018/08/29 22:00:00,NA,Cancelada,8,NA,NA,NA,NA,NA,NA
10680,2018/09/05 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10655,2018/08/29 14:00:00,NA,Aplazado para el 12 de septiembre,8,NA,NA,NA,NA,NA,NA
10685,2018/09/04 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10690,2018/09/05 14:30:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10687,2018/09/05 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10585,2018/07/20 20:00:00,2018-07-20,Gaceta 638/18,8,NA,NA,NA,NA,NA,NA
10718,2018/09/12 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10706,2018/09/11 20:00:00,2018-09-11,Acta 10 Gac 19/19,8,NA,NA,NA,NA,NA,NA
10658,2018/08/29 15:00:00,2018-08-29,Gaceta 900/18,8,NA,NA,NA,NA,NA,NA
10629,2018/08/21 15:00:00,2018-08-21,Acta 4 Gac 932/18,8,NA,NA,NA,NA,NA,NA
10755,2018/09/25 14:00:00,2018-09-25,Acta 10 Gac 927/18,8,NA,NA,NA,NA,NA,NA
10712,2018/09/11 14:00:00,2018-09-11,Acta 8 Gac 885/18,8,NA,NA,NA,NA,NA,NA
10715,2018/09/10 19:00:00,2018-09-10,Acta 7 Gac 887/18,8,NA,NA,NA,NA,NA,NA
10626,2018/08/15 16:00:00,2018-08-15,Acta 5 Gac 982/18,8,NA,NA,NA,NA,NA,NA
10652,2018/08/28 19:00:00,2018-08-28,Acta 7 Gac 39/19,8,NA,NA,NA,NA,NA,NA
10589,2018/07/25 21:00:00,2018-07-25,Acta 2 Gac 903/18,8,NA,NA,NA,NA,NA,NA
10697,2018/09/11 15:00:00,2018-09-11,Acta 6 Gac 959/18,8,NA,NA,NA,NA,NA,NA
10635,2018/08/21 19:00:00,2018-08-21,Acta 6 Gac 1082/18,8,NA,NA,NA,NA,NA,NA
10606,2018/08/08 20:00:00,2018-08-08,Acta 4 Gac 999/18,8,NA,NA,NA,NA,NA,NA
10601,2018/08/01 22:00:00,2018-08-01,Acta 3 Gac 957/18,8,NA,NA,NA,NA,NA,NA
10595,2018/07/31 15:00:00,2018-07-31,Acta 3 Gac 903/18,8,NA,NA,NA,NA,NA,NA
10752,2018/09/25 14:00:00,2018-09-25,Acta 11 Gac 1040/18,8,NA,NA,NA,NA,NA,NA
10599,2018/07/31 13:30:00,2018-07-31,Acta 1 Gac 711/18,8,NA,NA,NA,NA,NA,NA
10691,2018/09/05 19:00:00,2018-09-05,Acta 9 Gac 41/19,8,NA,NA,NA,NA,NA,NA
10713,2018/09/11 19:00:00,2018-09-11,Acta 10 Gac 42/19,8,NA,NA,NA,NA,NA,NA
10637,2018/08/22 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10639,2018/08/21 20:00:00,2018-08-21,Acta 6 Gac 1051/18,8,NA,NA,NA,NA,NA,NA
10716,2018/09/11 15:00:00,2018-09-11,Acta 8 Gac 888/18,8,NA,NA,NA,NA,NA,NA
10704,2018/09/12 13:00:00,2018-09-12,Acta 4 Gac 836/18,8,NA,NA,NA,NA,NA,NA
10696,2018/09/11 14:00:00,2018-09-11,Acta 6 Gac 868/18,8,NA,NA,NA,NA,NA,NA
10586,2018/07/20 22:00:00,2018-07-20,Acta 1 Gac 873/18,8,NA,NA,NA,NA,NA,NA
10594,2018/07/31 16:00:00,2018-07-31,Acta 1 Gac 702/18,8,NA,NA,NA,NA,NA,NA
10612,2018/08/15 14:00:00,2018-08-15,Acta 2 Gac 702/18,8,NA,NA,NA,NA,NA,NA
10653,2018/08/28 15:00:00,2018-08-28,Acta 4 Gac 704/18 No  hubo debate,8,NA,NA,NA,NA,NA,NA
10604,2018/08/08 13:00:00,2018-08-08,Acta 2 Gac 706/18 Cambió de 10 AM a 8 AM,8,NA,NA,NA,NA,NA,NA
10598,2018/07/31 13:00:00,2018-07-31,Acta 1 Gac 709/18,8,NA,NA,NA,NA,NA,NA
10600,2018/07/31 15:30:00,2018-07-31,Acta 1 Gac 711/18,8,NA,NA,NA,NA,NA,NA
10678,2018/09/04 20:00:00,2018-09-04,Acta 8 Gac 09/19,8,NA,NA,NA,NA,NA,NA
10632,2018/08/21 13:00:00,2018-08-21,Acta 1 Gac 727/18,8,NA,NA,NA,NA,NA,NA
10597,2018/07/31 15:00:00,2018-07-31,Acta 1 Gac 728/18,8,NA,NA,NA,NA,NA,NA
10647,2018/08/28 15:00:00,2018-08-28,Acta 3 Gac 730/18,8,NA,NA,NA,NA,NA,NA
10709,2018/09/11 15:00:00,2018-09-11,Gac 746/18,8,NA,NA,NA,NA,NA,NA
10699,2018/09/11 15:00:00,2018-09-11,Acta 6 Gac 757/18,8,NA,NA,NA,NA,NA,NA
10656,2018/08/29 14:30:00,2018-08-29,Acta 3 Gac 768/18,8,NA,NA,NA,NA,NA,NA
10683,2018/09/04 15:00:00,2018-09-04,Acta 5 Gac 770/18,8,NA,NA,NA,NA,NA,NA
10717,2018/09/12 14:00:00,2018-09-12,Acta 9 Gac 772/18,8,NA,NA,NA,NA,NA,NA
10617,2018/08/21 15:00:00,2018-08-21,Acta 3 Gac 773/18,8,NA,NA,NA,NA,NA,NA
10650,2018/08/29 14:00:00,2018-08-29,Acta 6 Gac 776/18,8,NA,NA,NA,NA,NA,NA
10644,2018/08/28 16:00:00,2018-08-28,Acta 3 Gac 781/18,8,NA,NA,NA,NA,NA,NA
10708,2018/09/13 15:00:00,2018-09-13,Gac 802/18,8,NA,NA,NA,NA,NA,NA
10675,2018/09/05 15:00:00,2018-09-05,Acta 3 Gac 812/18,8,NA,NA,NA,NA,NA,NA
10707,2018/09/12 15:00:00,2018-09-12,Acta 07 Gac 815/18,8,NA,NA,NA,NA,NA,NA
10646,2018/08/28 15:00:00,2018-08-28,Acta 4 Gac 828/18 debate se aplazó,8,NA,NA,NA,NA,NA,NA
10681,2018/09/05 15:00:00,2018-09-05,Acta 5 Gaceta 1058/18,8,NA,NA,NA,NA,NA,NA
10628,2018/08/22 15:00:00,2018-08-22,Acta 3 Gac 690/18,8,NA,NA,NA,NA,NA,NA
10695,2018/09/06 15:00:00,2018-09-06,Gaceta 692/18,8,NA,NA,NA,NA,NA,NA
10631,2018/08/22 14:00:00,2018-08-22,Acta 3 Gac 653/18,8,NA,NA,NA,NA,NA,NA
10649,2018/08/28 15:00:00,2018-08-28,Acta 4 Gac 662/18,8,NA,NA,NA,NA,NA,NA
10651,2018/08/28 20:00:00,2018-08-28,Acta 7 Gac 1104/18,8,NA,NA,NA,NA,NA,NA
10580,2018/06/05 15:00:00,2018-06-05,Acta 27 Gac 466/18,7,NA,NA,NA,NA,NA,NA
10584,2018/04/04 20:00:00,2018-04-04,Acta 50 Gac 476/18,7,NA,NA,NA,NA,NA,NA
10591,2018/05/16 16:00:00,2018-05-16,Acta 3 Gac 492/18,7,NA,NA,NA,NA,NA,NA
10582,2018/05/09 14:00:00,2018-05-09,acta 18 Gac 504/18,7,NA,NA,NA,NA,NA,NA
10592,2018/05/17 15:00:00,2018-05-17,Acta 19 Gac 504/18,7,NA,NA,NA,NA,NA,NA
10415,2018/04/24 19:00:00,2018-04-24,Acta 283 Gac 529/18 Sesión reservada caso Mag Malo,7,NA,NA,NA,NA,NA,NA
10719,2018/09/12 19:00:00,2018-09-12,Acta 11 Gac 783/19,8,NA,NA,NA,NA,NA,NA
10663,2018/06/19 14:00:00,2018-06-19,Acta 23 Gac 572/18,7,NA,NA,NA,NA,NA,NA
10664,2018/07/31 15:00:00,2018-07-31,Acta 1 Gac 583/18,8,NA,NA,NA,NA,NA,NA
10665,2018/07/31 20:00:00,2018-07-31,Acta 1 Gac 583/18,8,NA,NA,NA,NA,NA,NA
10587,2018/07/20 22:00:00,2018-07-20,Acta 1 Gac 593/18,8,NA,NA,NA,NA,NA,NA
10667,2018/08/08 15:00:00,2018-08-08,Acta 2 Gac 598/18,8,NA,NA,NA,NA,NA,NA
10668,2018/07/31 20:00:00,2018-07-31,Acta 1 Gac 599/18,8,NA,NA,NA,NA,NA,NA
10694,2018/08/08 16:00:00,2018-08-08,Acta 2 Gac 604/18 Duplicado,8,NA,NA,NA,NA,NA,NA
10677,2018/06/20 12:30:00,2018-06-20,Acta 10 Gac 613/18 No hubo quórum,7,NA,NA,NA,NA,NA,NA
10611,2018/08/15 15:00:00,2018-08-15,Acta 5 Gac 619/18,8,NA,NA,NA,NA,NA,NA
10624,2018/08/15 15:00:00,2018-08-15,Acta 3 Gac 623/18,8,NA,NA,NA,NA,NA,NA
10640,2018/08/21 14:00:00,2018-08-21,Acta 4 Gac 624/18,8,NA,NA,NA,NA,NA,NA
10609,2018/08/15 15:00:00,2018-08-15,Acta 2 Gac 626/18,8,NA,NA,NA,NA,NA,NA
10669,2018/07/31 20:00:00,2018-07-31,Acta 1 Gac 600/18,8,NA,NA,NA,NA,NA,NA
10701,2018/09/12 13:00:00,2018-09-12,Acta 7 Gac 47/18,8,NA,NA,NA,NA,NA,NA
10593,2018/07/26 14:00:16,2018-07-26,Acta 2 Gac 96/19,8,NA,NA,NA,NA,NA,NA
10705,2018/09/12 15:00:00,2018-09-12,Acta 6 Gac 142/19,8,NA,NA,NA,NA,NA,NA
10711,2018/09/13 14:00:00,2018-09-13,Acta 8 Gac 160/19,8,NA,NA,NA,NA,NA,NA
10692,2018/06/19 14:30:00,2018-06-19,Acta 33 Gac 536/18,7,NA,NA,NA,NA,NA,NA
10754,2018/09/25 15:00:00,2018-09-25,Acta 10 Gac 320/19,8,NA,NA,NA,NA,NA,NA
10698,2018/09/12 14:00:00,2018-09-12,Acta 7 Gac 318/19,8,NA,NA,NA,NA,NA,NA
10703,2018/09/11 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10618,2018/08/15 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10714,2018/09/12 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10689,2018/09/05 14:30:00,NA,Aplazada,8,NA,NA,NA,NA,NA,NA
10761,2018/09/25 15:00:00,NA,Duplicado,8,NA,NA,NA,NA,NA,NA
10726,2018/09/19 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10722,2018/09/18 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10766,2018/09/26 20:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10769,2018/09/26 13:30:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10743,2018/09/19 20:00:00,NA,Cancelada,8,NA,NA,NA,NA,NA,NA
10727,2018/09/19 14:00:00,NA,Aplazado para el 25 de septiembre,8,NA,NA,NA,NA,NA,NA
10750,2018/09/25 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10784,2018/10/11 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10814,2018/10/23 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10785,2018/10/10 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10791,2018/10/17 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10795,2018/10/17 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10806,2018/10/17 15:00:00,NA,Duplicado,8,NA,NA,NA,NA,NA,NA
10830,2018/10/23 13:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10834,2018/10/24 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10835,2018/10/24 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10843,2018/10/25 13:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10860,2018/10/31 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10855,2018/10/30 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10856,2018/10/30 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10861,2018/11/01 14:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10853,2018/10/30 15:00:00,NA,NA,8,NA,NA,NA,NA,NA,NA
10852,2018/10/31 15:00:00,NA,Duplicado,8,NA,NA,NA,NA,NA,NA
10885,2018/11/07 15:00:00,2018-11-07,Acta 27 Gac 1050/18,8,NA,NA,NA,NA,NA,NA
