id,created_at,updated_at,nombre,imagen,proyecto_ley_id,activo,usermodifed,usercreated
68,2010/09/02 22:01:52,2010/09/29 22:14:34,"Ministro de Agricultura y Desarrollo Rural, Carlos Gustavo Cano",uploads/otros_autores/carlos_gustavo_cano.png,NA,NA,NA,NA
79,2010/10/20 20:46:02,2010/10/20 20:46:02,"Ministra de Educación (e), Juana Inés Díaz",NA,NA,NA,NA,NA
74,2010/10/05 21:55:50,2010/10/05 21:55:50,"Ministro de Defensa Nacional, Jorge Alberto Uribe Echavarria",uploads/otros_autores/Jorge_Alberto_uribe_Echavarria.jpg,NA,NA,NA,NA
75,2010/10/11 20:30:31,2010/10/11 20:30:31,"Contralor General de la Nación, Antonio Hernández Gamarra",uploads/otros_autores/Antonio_Hdez_GAMARRA.jpg,NA,NA,NA,NA
82,2010/11/08 19:39:49,2010/11/08 19:39:49,"Presidente del Consejo Superior de la Judicatura, Guillermo Bueno Miranda.",NA,NA,NA,NA,NA
77,2010/10/13 22:04:31,2011/01/25 18:18:39,"Ministro de Defensa Nacional, Martha Lucía Ramírez",uploads/otros_autores/Marta_Lucia_ramirez_.jpg,NA,NA,NA,NA
78,2010/10/13 22:08:29,2010/10/13 22:08:29,"Presidenta del Consejo Superior de la Judicatura,  Lucía  Arbelaez de Tobón",NA,NA,NA,NA,NA
80,2010/10/21 19:56:56,2011/03/10 16:57:12,"Ministra de Cultura, María Consuelo Araujo",uploads/otros_autores/Consuelo_Araujo_.jpg,NA,NA,NA,NA
88,2010/11/16 20:33:23,2010/11/16 20:33:23,"Ministro de la Protección Social, Juan Luis Londoño de la Cuesta",uploads/otros_autores/Juan_Luis_londono.jpg,NA,NA,NA,NA
89,2010/11/16 21:48:53,2010/11/16 21:48:53,"Ministra de Ambiente, Vivienda y Desarrollo Territorial,  Cecilia  Rodríguez  González - Rubio",uploads/otros_autores/Cecilia_Rodriguez_Gonzalezrubio.jpg,NA,NA,NA,NA
91,2011/01/13 21:04:11,2011/01/13 21:04:11,"Ministra de Justicia y del Derecho, Almabeatriz Rengifo López",uploads/otros_autores/Almabeatriz_Rengifo.jpg,NA,NA,NA,NA
92,2011/01/13 21:51:56,2011/01/13 21:51:56,"Ministro de Minas y Energía, Orlando Cabrales Martínez",uploads/otros_autores/Orlando_cabrales.jpg,NA,NA,NA,NA
93,2011/01/14 16:00:59,2011/01/14 16:00:59,"Ministro de Hacienda y Crédito Público, Juan Camilo Restrepo",uploads/otros_autores/Juan_Camilo_Restrepo_.jpg,NA,NA,NA,NA
94,2011/01/14 17:37:47,2011/01/14 17:37:47,"Ministro de Hacienda y Crédito Público, Antonio Urdinola",uploads/otros_autores/Antonio_URDINOLA.jpg,NA,NA,NA,NA
95,2011/01/14 19:30:18,2011/01/14 19:30:18,"Ministro de Transporte, Rodrigo Marín Bernal",uploads/otros_autores/RODRIGO_MARIN_BERNAL.jpg,NA,NA,NA,NA
96,2011/01/14 19:58:58,2011/01/14 19:58:58,"Ministro de Medio Ambiente, Eduardo Verano de la Rosa",uploads/otros_autores/Eduardo_verano_de_la_rosa.jpg,NA,NA,NA,NA
97,2011/01/14 20:37:24,2011/01/14 20:37:24,"Ministro de Comunicaciones, José Fernando Bautista Quintero",uploads/otros_autores/Jose_Fernando_Bautista.jpg,NA,NA,NA,NA
