id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
57041,8111,59,NA,NA,NA,NA,NA
57042,8111,77,NA,NA,NA,NA,NA
57224,9417,578,NA,NA,NA,NA,NA
57225,9417,12,NA,NA,NA,NA,NA
57226,9417,93,NA,NA,NA,NA,NA
57227,9417,23,NA,NA,NA,NA,NA
57268,9724,97,NA,NA,NA,NA,NA
57287,9898,505,NA,NA,NA,NA,NA
57532,10707,914,NA,NA,NA,NA,NA
57533,10707,244,NA,NA,NA,NA,NA
57534,10707,118,NA,NA,NA,NA,NA
57535,10707,1222,NA,NA,NA,NA,NA
57722,11772,1184,NA,NA,NA,NA,NA
58716,16950,793,NA,NA,NA,NA,NA
58113,13003,112,NA,NA,NA,NA,NA
58114,13003,1245,NA,NA,NA,NA,NA
58115,13003,1214,NA,NA,NA,NA,NA
58272,14934,213,NA,NA,NA,NA,NA
58283,15043,834,NA,NA,NA,NA,NA
58561,15273,646,NA,NA,NA,NA,NA
58903,17405,543,NA,NA,NA,NA,NA
59559,1255,129,NA,NA,NA,NA,NA
59560,1255,259,NA,NA,NA,NA,NA
59561,1255,196,NA,NA,NA,NA,NA
59562,1255,197,NA,NA,NA,NA,NA
59563,1255,1222,NA,NA,NA,NA,NA
59564,1255,1170,NA,NA,NA,NA,NA
59565,1255,240,NA,NA,NA,NA,NA
59566,1255,177,NA,NA,NA,NA,NA
59567,1255,914,NA,NA,NA,NA,NA
59614,18356,38,NA,NA,NA,NA,NA
59649,9990,88,NA,NA,NA,NA,NA
59926,9262,10,NA,NA,NA,NA,NA
59927,9262,1260,NA,NA,NA,NA,NA
59928,9262,14,NA,NA,NA,NA,NA
59929,9262,87,NA,NA,NA,NA,NA
60094,18507,763,NA,NA,NA,NA,NA
63389,24884,1201,NA,NA,NA,NA,NA
63390,24884,1202,NA,NA,NA,NA,NA
64962,12047,247,NA,NA,NA,NA,NA
83741,49977,192,NA,NA,NA,NA,NA
63403,24902,152,NA,NA,NA,NA,NA
60921,20429,1219,NA,NA,NA,NA,NA
60922,20429,196,NA,NA,NA,NA,NA
60923,20429,136,NA,NA,NA,NA,NA
60924,20429,2697,NA,NA,NA,NA,NA
60925,20429,2507,NA,NA,NA,NA,NA
60926,20429,140,NA,NA,NA,NA,NA
60927,20429,2536,NA,NA,NA,NA,NA
60928,20429,1522,NA,NA,NA,NA,NA
60929,20429,123,NA,NA,NA,NA,NA
60930,20429,937,NA,NA,NA,NA,NA
60931,20429,1785,NA,NA,NA,NA,NA
60932,20429,922,NA,NA,NA,NA,NA
60933,20429,1531,NA,NA,NA,NA,NA
60934,20429,1693,NA,NA,NA,NA,NA
63404,24902,1201,NA,NA,NA,NA,NA
63405,24902,1202,NA,NA,NA,NA,NA
63406,24902,1205,NA,NA,NA,NA,NA
63407,24902,102,NA,NA,NA,NA,NA
63408,24905,152,NA,NA,NA,NA,NA
63409,24905,296,NA,NA,NA,NA,NA
63410,24905,29,NA,NA,NA,NA,NA
63411,24905,102,NA,NA,NA,NA,NA
63412,24909,152,NA,NA,NA,NA,NA
63413,24909,1201,NA,NA,NA,NA,NA
63414,24909,1202,NA,NA,NA,NA,NA
63415,24909,1205,NA,NA,NA,NA,NA
63416,24909,102,NA,NA,NA,NA,NA
63417,24913,811,NA,NA,NA,NA,NA
63418,24913,23,NA,NA,NA,NA,NA
63419,24914,4,NA,NA,NA,NA,NA
63420,24915,4,NA,NA,NA,NA,NA
63421,24916,11,NA,NA,NA,NA,NA
63423,24926,1280,NA,NA,NA,NA,NA
63424,24926,172,NA,NA,NA,NA,NA
63425,24926,1283,NA,NA,NA,NA,NA
63426,24926,244,NA,NA,NA,NA,NA
63427,24926,117,NA,NA,NA,NA,NA
63428,24919,128,NA,NA,NA,NA,NA
68349,21546,142,NA,NA,NA,NA,NA
68432,20380,177,NA,NA,NA,NA,NA
68433,20380,50,NA,NA,NA,NA,NA
68434,20380,101,NA,NA,NA,NA,NA
68500,18956,1615,NA,NA,NA,NA,NA
