id,created_at,updated_at,nombre
168,2011-09-21 22:23:02.829041,2011-09-21 22:23:02.829096,"Fiscal General de la Nación, Viviane Morales Hoyos"
169,2011-10-03 19:45:10.248067,2011-10-03 19:45:10.248132,"Presidente del Consejo Nacional Electoral, José Joaquín Vives Pérez"
170,2011-10-19 18:59:44.247021,2011-10-19 18:59:44.247080,"Viceministro de Cultura, Oscar Rueda García"
171,2011-10-31 15:44:21.363052,2011-10-31 15:44:21.363098,"Ministro de Minas y Energía, Mauricio Cárdenas Santamaría"
173,2011-11-08 20:11:33.670154,2011-11-08 20:11:33.670196,"Director del Departamento Nacional de Planeación, Hernando José Gómez Restrepo"
174,2011-11-28 15:25:41.969394,2011-11-28 15:25:41.969448,"Ministro de Defensa Nacional, Juan Carlos Pinzón"
175,2012-03-20 16:39:18.022044,2012-03-20 16:39:18.022088,"Viceministro de Justicia, Pablo Felipe Robledo"
177,2012-03-20 18:53:04.920510,2012-03-20 18:53:04.920569,"Viceministro de Comercio Exterior, Gabriel Duque Mildenberg"
178,2012-04-25 15:11:47.461265,2012-04-25 15:11:47.461318,"Presidente del Consejo de Estado, Gustavo Gómez Aranguren"
179,2012-04-27 15:10:19.717148,2012-04-27 15:10:19.717189,"Ministro Encargado de Vivienda, Ciudad y Territorio, Luis Felipe Henao Cardona"
180,2012-04-30 20:40:05.290690,2012-04-30 20:40:05.290729,"Ministro de Trabajo, Rafael Pardo"
176,2012-03-20 16:56:23.965694,2012-06-05 20:26:37.017697,"Presidente del Consejo Nacional Electoral, José Joaquín Plata"
1,2010-06-08 20:45:17.659619,2010-06-08 20:45:17.659661,"Ministro de Relaciones Exteriores, Jaime Bermúdez Merizalde"
9,2010-06-23 21:49:45.383155,2010-07-01 19:10:36.464315,"Ministro de Minas y Energía, Hernán Martínez Torres"
58,2010-08-25 16:54:03.933236,2010-08-25 16:55:27.372434,"Director del Departamento Administrativo de Seguridad D.A.S., Felipe Muñoz Gómez"
172,2011-10-31 15:47:01.399066,2011-10-31 15:47:01.399116,"Viceministro de Hacienda y Crédito Público, Bruce Mac Master Rojas"
181,2012-08-02 22:54:52.804139,2012-08-02 22:54:52.804185,"Vicepresidente del Consejo Nacional Electoral, Pablo Guillermo Gil de la Hoz"
182,2012-09-03 14:34:15.726895,2012-09-03 14:34:15.726932,"Ministra de Justicia y del Derecho, Ruth Stella Correa Palacio"
185,2012-10-04 23:53:52.932368,2012-10-04 23:53:52.932408,"Ministro del Interior, Fernando Carrillo Flórez"
186,2012-10-10 17:49:11.020361,2012-10-10 17:49:11.020403,"Ministro de Minas y Energías, Federico Rengifo Vélez"
187,2012-10-18 16:45:42.572729,2012-10-18 16:45:42.572767,"Ministro de Ambiente y Desarrollo Sostenible, Juan Gabriel Uribe"
188,2012-11-14 19:57:30.501103,2012-11-14 19:57:30.501139,"Ministra de Transporte, Cecilia Alvarez"
190,2013-02-14 15:14:26.808848,2013-02-14 15:14:26.808888,"Presidente del Consejo Superior de la Judicatura, Ricardo Monroy Church"
