id,numero_expediente,sentencia_id
1040,D1210,919
1041,D-1215,920
1042,D1232,921
1043,D1156,922
1044,D1166,923
1045,D1169,924
1046,D1189,925
1047,D1193,926
1048,D1271,927
1049,D1236,928
1050,D1244,929
1051,D1247,930
1052,D-1248,931
1053,D1258,932
1054,LAT073,933
1055,D1152,934
1056,D1219,935
1057,D1226,936
1058,D1245,937
1059,D1231,938
1060,D1251,939
1061,D1257,940
1062,D1261,941
1063,RE-084,942
1064,RE085,943
1065,RE086,944
1066,D1202,945
1067,D1155,946
1068,D1168,947
1069,D1196,948
1070,D1216,948
1071,D1235,949
1072,D1242,950
1073,D1250,951
1074,D1264,952
1075,D-1209,953
1076,D-1222,953
1077,D1273,954
1078,D1279,955
1079,D1281,956
1080,D1283,957
1081,D1285,958
1082,D1255,959
1083,D1268,960
1084,D1282,960
1085,OP011,961
1086,D1252,962
1087,D1195,963
1088,D-1220,964
1089,D1240,965
1090,D1243,966
1091,D1260,967
1092,D1265,968
1093,D1262,969
1094,D1287,970
1095,D1171,971
1096,D1239,972
1097,D1280,973
1098,D1289,974
1099,D-1254,975
1100,D1259,976
1101,D1266,977
1102,D1276,978
1103,D1297,979
1104,D1286,980
1105,D1288,981
1106,D1293,982
1107,D1223,983
1108,D1230,984
1109,D1277,985
1110,D-1290,986
1111,D2191,987
1112,D1298,988
1113,D1302,989
1114,D1303,989
1115,D1183,990
1116,D1177,991
1117,D1233,992
1118,D1299,993
1119,D1304,994
1120,D1295,995
1121,D1267,996
1122,D-1310,997
1123,D1229,998
1124,D1274,999
1125,D1301,1000
1126,D1319,1001
1127,D1328,1002
1128,D1300,1003
1129,D1318,1004
1130,D1325,1005
1131,D1314,1006
1132,D1294,1007
1133,D-1316,1008
1134,D1324,1009
1135,D1332,1010
1136,D1339,1011
1137,D1360,1012
1138,D1364,1013
1139,D1330,1014
1140,D1341,1015
1141,D1308,1016
1142,D1338,1017
1143,D1321,1018
1144,D-1322,1019
1145,D1326,1020
1146,D1340,1021
1147,D1342,1022
1148,D1313,1023
1149,D1347,1024
1150,D1355,1025
1151,LAT078,1026
