id,nombre_id,intervencion,concepto,sentencia_id
460,12,99,99,33
461,13,99,99,33
462,14,99,99,33
463,1,99,99,34
464,2,99,99,34
465,3,99,99,34
466,4,99,99,34
467,5,99,99,34
468,6,99,99,34
469,7,99,99,34
470,8,99,99,34
471,9,99,99,34
472,10,99,99,34
473,11,99,99,34
474,12,99,99,34
475,13,99,99,34
476,14,99,99,34
477,1,99,99,35
478,2,99,99,35
479,3,99,99,35
480,4,99,99,35
481,5,99,99,35
482,6,99,99,35
483,7,99,99,35
484,8,99,99,35
485,9,99,99,35
486,10,99,99,35
487,11,99,99,35
488,12,99,99,35
489,13,99,99,35
490,14,99,99,35
491,1,99,99,36
492,2,99,99,36
493,3,99,99,36
494,4,99,99,36
495,5,99,99,36
496,6,99,99,36
497,7,99,99,36
498,8,2,4,36
499,9,99,99,36
500,10,99,99,36
501,11,99,99,36
502,12,99,99,36
503,13,99,99,36
504,14,99,99,36
505,1,99,99,37
506,2,99,99,37
507,3,99,99,37
508,4,99,99,37
509,5,99,99,37
510,6,99,99,37
511,7,99,99,37
512,8,99,99,37
513,9,99,99,37
514,10,99,99,37
515,11,99,99,37
516,12,99,99,37
517,13,99,99,37
518,14,99,99,37
519,1,99,99,38
520,2,99,99,38
521,3,99,99,38
522,4,99,99,38
523,5,99,99,38
524,6,99,99,38
525,7,99,99,38
526,8,99,99,38
527,9,99,99,38
528,10,99,99,38
529,11,99,99,38
530,12,99,99,38
531,13,99,99,38
532,14,99,99,38
533,1,99,99,39
534,2,99,99,39
535,3,99,99,39
536,4,99,99,39
537,5,99,99,39
538,6,99,99,39
539,7,99,99,39
540,8,99,99,39
541,9,99,99,39
542,10,99,99,39
543,11,99,99,39
544,12,99,99,39
545,13,99,99,39
546,14,99,99,39
547,1,99,99,40
548,2,99,99,40
549,3,99,99,40
550,4,99,99,40
551,5,99,99,40
552,6,99,99,40
553,7,99,99,40
554,8,99,99,40
555,9,99,99,40
556,10,99,99,40
557,11,99,99,40
558,12,99,99,40
559,13,99,99,40
560,14,99,99,40
561,1,99,99,41
562,2,99,99,41
563,3,99,99,41
564,4,99,99,41
565,5,99,99,41
566,6,99,99,41
567,7,99,99,41
568,8,99,99,41
569,9,99,99,41
570,10,99,99,41
571,11,99,99,41
572,12,99,99,41
573,13,99,99,41
574,14,99,99,41
575,1,99,99,42
576,2,99,99,42
577,3,99,99,42
578,4,99,99,42
579,5,99,99,42
