id,control_politico_id,persona_id
62532,18955,873
62533,3081,123
62534,3081,201
62535,3081,547
62536,3081,198
62537,3081,161
62538,2283,768
62539,2283,161
62540,2283,547
62541,2283,197
62542,2283,198
62543,2283,1217
62544,2283,201
62545,2283,398
62546,2283,1264
62547,2283,113
62548,2283,211
62549,2283,148
62550,2283,213
62551,2283,120
62552,2283,1178
62553,2283,123
62554,2283,254
62555,2283,245
62556,18840,865
62557,19241,643
62558,19241,77
62578,166,16
62579,2187,113
62580,2187,245
62581,2187,161
62600,23785,763
61945,22676,896
61946,22676,643
61947,22676,5
61948,22676,9
61949,22676,906
61950,22676,12
61951,22676,23
61952,22676,25
61953,22676,27
61954,22676,28
61955,22676,285
61956,22676,38
61957,22676,41
61958,22676,811
61959,22676,49
61960,22676,55
61961,22676,75
61962,22676,85
61963,22676,91
61964,22676,93
61965,22676,357
61966,22676,1260
61967,22676,1277
61968,22676,1278
62017,174,896
62018,174,643
62019,174,5
62020,174,9
62021,174,906
62022,174,12
62023,174,23
62024,174,25
62025,174,27
62026,174,28
62027,174,285
62028,174,38
62029,174,41
62030,174,811
62031,174,49
62032,174,55
62033,174,75
62034,174,85
62035,174,91
62036,174,93
62037,174,357
62038,174,1260
62039,174,1277
62040,174,1278
62044,177,827
62183,22796,3
62184,22796,22
62185,22796,1255
62186,22796,74
62187,22796,75
62188,22796,47
62189,22796,16
62190,22796,49
62191,22796,19
62192,22796,21
62193,22796,86
62194,22796,90
62195,22796,763
59955,9553,2600
59576,7161,96
59577,7161,181
59625,7329,1177
59657,1211,896
68316,22008,134
68352,21198,92
68353,21198,2238
68438,19956,288
68439,19956,668
68521,18476,9
87909,56745,59
74158,39387,1201
74159,39387,2533
74160,39387,873
60613,10067,112
60614,10067,1200
60615,10067,194
61172,21126,896
61173,21126,122
62394,23085,1248
62395,23085,1257
62396,23085,77
62397,23085,47
60943,20465,2442
62398,23085,16
62399,23085,18
62400,23085,86
62401,23085,511
62402,23085,1278
62403,23085,95
62196,22796,1276
62197,22796,53
62198,22796,95
62199,20307,47
62210,179,1248
61647,12294,244
61648,12294,543
61650,12181,1188
61651,12181,862
61652,12269,257
61653,12269,163
61654,12269,135
61655,12269,296
61656,12269,873
61657,12269,178
61658,12269,656
61659,12269,1202
61660,12269,152
61661,12269,1182
61664,22452,61
