id,created_at,updated_at,persona_id,fecha
3,2009-12-07 16:02:59.774954,2010-02-03 16:33:51.518340,244,1986-01-01
534,2010-02-04 14:41:13.510421,2010-02-04 14:41:13.510450,273,NA
553,2010-02-05 01:20:26.584457,2010-02-05 01:20:26.584479,1472,2005-12-01
554,2010-02-05 01:20:26.585475,2010-02-05 01:20:26.585497,1472,2008-02-15
555,2010-02-05 01:20:26.586311,2010-02-05 01:20:26.586333,1472,1995-01-01
580,2010-02-11 17:49:02.486733,2010-02-11 17:49:02.486757,1762,2001-11-01
581,2010-02-11 17:49:02.488003,2010-02-11 17:49:02.488024,1762,NA
588,2010-02-11 19:05:59.776125,2010-02-11 19:11:05.399011,1805,1982-07-05
589,2010-02-11 19:11:05.400876,2010-02-11 19:11:05.400898,1805,1971-02-01
592,2010-02-11 22:17:08.347789,2010-02-11 22:17:08.347810,1954,2008-02-01
593,2010-02-12 12:29:06.240084,2010-02-12 12:29:06.240107,288,1990-01-01
558,2010-02-05 16:11:12.549844,2010-02-12 13:25:03.968963,1403,2003-08-25
594,2010-02-12 13:25:03.970776,2010-02-12 13:25:03.970797,1403,2003-01-27
595,2010-02-12 13:25:03.971874,2010-02-12 13:25:03.971902,1403,1998-05-28
596,2010-02-12 13:25:03.972718,2010-02-12 13:25:03.972740,1403,1992-11-27
597,2010-02-12 13:57:29.071661,2010-02-12 13:57:29.071684,288,1991-02-01
598,2010-02-12 14:02:17.676487,2010-02-12 14:02:17.676513,2117,1993-01-01
599,2010-02-12 14:02:17.677763,2010-02-12 14:02:17.677784,2117,1989-09-28
877,2011-04-14 19:54:35.700739,2011-04-14 19:54:35.700780,2520,NA
772,2010-09-14 20:31:57.599308,2010-09-14 20:31:57.599331,516,1989-01-01
425,2010-01-17 17:35:02.432081,2010-02-12 20:01:01.939306,1309,1983-01-01
426,2010-01-17 17:35:02.441409,2010-02-12 20:01:01.942937,1309,1992-01-01
174,2010-01-17 17:34:59.817034,2010-05-14 18:24:39.884472,686,1979-01-01
600,2010-02-13 00:45:14.377556,2010-02-13 00:45:14.377580,1799,1973-06-07
601,2010-02-13 00:45:14.378675,2010-02-13 00:45:14.378697,1799,1978-01-02
602,2010-02-13 00:45:14.379492,2010-02-13 00:45:14.379513,1799,1982-04-10
605,2010-02-13 17:00:54.057978,2010-02-13 17:00:54.058000,1763,2009-01-01
606,2010-02-13 20:15:00.026931,2010-02-13 20:15:00.026953,2125,1970-05-25
607,2010-02-13 20:15:00.027978,2010-02-13 20:15:00.027999,2125,1966-08-16
608,2010-02-13 20:15:00.028825,2010-02-13 20:15:00.028846,2125,1974-11-15
609,2010-02-15 05:56:12.002823,2010-02-15 05:56:12.002845,284,2008-12-15
561,2010-02-06 22:16:30.356147,2014-05-15 22:20:45.892833,1852,NA
562,2010-02-06 22:16:30.378190,2014-05-15 22:20:45.902781,1852,NA
563,2010-02-06 22:16:30.379105,2014-05-15 22:20:45.911174,1852,NA
99,2010-01-17 17:34:58.996711,2010-02-16 19:05:13.211700,482,1998-01-01
610,2010-02-17 00:02:19.140622,2010-02-17 00:02:19.140669,2087,NA
612,2010-02-17 21:40:12.386978,2010-02-17 21:40:12.387002,2092,2000-12-16
