id,entity_content_type_id,count,counted_content_type_id,counted_object_id
47912,52,37,72,134
47913,52,44,72,73
47914,52,8,72,106
47915,52,239,72,122
47916,52,151,72,22
47917,52,88,72,3
47918,52,10,72,129
47919,52,44,72,56
47920,52,23,72,120
47921,52,17,72,55
47922,52,29,72,62
47923,52,76,72,5
68688,98,1,21,1800
47924,52,34,72,50
47925,52,62,72,101
47926,52,65,72,30
47927,52,20,72,130
47928,52,22,72,97
47929,52,158,72,108
47930,52,20,72,133
47931,52,105,72,35
47932,52,86,72,121
47933,52,42,72,11
47934,52,157,72,20
47935,52,54,72,67
47936,52,341,72,10
47937,52,161,72,123
47938,52,70,72,38
47939,52,159,72,100
47940,52,42,72,125
50311,98,1,97,74
52496,67,1,20,16
50312,98,9,97,75
50313,98,1,97,76
50284,54,31,20,14
50314,98,1,97,77
50315,98,3,97,78
48079,98,13,97,22
48080,98,4,97,23
48081,98,7,97,24
48082,98,6,97,25
48083,98,6,97,26
48084,98,5,97,27
48085,98,7,97,28
48086,98,1,97,29
50294,98,3,97,30
48089,98,1,97,32
48090,98,1,97,33
48091,98,22,97,34
48092,98,3,97,35
55062,98,18,21,2448
48674,98,29,21,2419
68791,98,1,21,2761
52502,98,2,97,79
52503,98,3,97,80
52504,98,5,97,81
52505,98,15,97,82
72469,52,2000,34,7
72470,54,4000,34,7
