id,user_id,provider,is_email_filled,is_profile_modified
344,5043,Twitter,FALSE,FALSE
330,4895,Twitter,FALSE,FALSE
331,4901,Twitter,TRUE,TRUE
332,4908,Google,FALSE,FALSE
345,5049,Google,TRUE,TRUE
346,5051,Google,FALSE,FALSE
347,5059,Twitter,FALSE,FALSE
349,5064,Google,FALSE,FALSE
350,5071,Google,FALSE,FALSE
223,3961,Google,TRUE,TRUE
348,5063,Google,TRUE,TRUE
313,4755,Twitter,TRUE,TRUE
181,3566,Google,TRUE,TRUE
277,4488,Google,TRUE,TRUE
273,4449,Google,TRUE,TRUE
183,3609,Google,TRUE,TRUE
186,3624,Google,TRUE,TRUE
307,4731,Google,TRUE,TRUE
351,5084,Twitter,FALSE,FALSE
352,5090,Google,FALSE,FALSE
353,5096,Google,TRUE,TRUE
354,5097,Google,TRUE,TRUE
355,5102,Twitter,FALSE,FALSE
44,2484,Google,TRUE,TRUE
356,5119,Twitter,FALSE,FALSE
357,5128,Google,FALSE,FALSE
358,5138,Twitter,FALSE,FALSE
359,5148,Google,TRUE,TRUE
360,5154,Google,FALSE,FALSE
361,5165,Google,FALSE,FALSE
362,5166,Twitter,FALSE,FALSE
363,5167,Twitter,FALSE,FALSE
364,5187,Google,FALSE,FALSE
365,5189,Google,TRUE,TRUE
366,5190,Google,TRUE,TRUE
367,5193,Google,TRUE,TRUE
369,5203,Google,FALSE,FALSE
370,5207,Twitter,FALSE,FALSE
371,5216,Twitter,FALSE,FALSE
372,5217,Twitter,FALSE,FALSE
373,5227,Twitter,FALSE,FALSE
374,5261,Twitter,FALSE,FALSE
445,5834,Google,TRUE,TRUE
446,5840,Google,TRUE,TRUE
375,5266,Google,TRUE,TRUE
376,5276,Google,FALSE,FALSE
377,5277,Google,TRUE,TRUE
378,5279,Twitter,FALSE,FALSE
379,5288,Google,TRUE,TRUE
380,5292,Google,FALSE,FALSE
481,6085,Twitter,FALSE,FALSE
381,5293,Twitter,TRUE,TRUE
382,5303,Twitter,FALSE,FALSE
383,5327,Google,TRUE,TRUE
384,5333,Twitter,FALSE,FALSE
385,5334,Twitter,FALSE,FALSE
386,5337,Google,TRUE,TRUE
448,5845,Google,FALSE,FALSE
387,5339,Google,TRUE,TRUE
449,5854,Google,FALSE,FALSE
388,5376,Google,TRUE,TRUE
389,5386,Twitter,FALSE,FALSE
390,5395,Google,FALSE,FALSE
391,5396,Google,TRUE,TRUE
392,5402,Google,FALSE,FALSE
393,5403,Google,TRUE,TRUE
394,5412,Google,FALSE,FALSE
395,5422,Twitter,FALSE,FALSE
396,5427,Twitter,FALSE,FALSE
398,5440,Google,TRUE,TRUE
399,5442,Twitter,FALSE,FALSE
450,5855,Twitter,FALSE,FALSE
451,5865,Google,TRUE,TRUE
400,5446,Google,TRUE,TRUE
397,5429,Google,TRUE,TRUE
401,5456,Google,TRUE,TRUE
402,5458,Google,FALSE,FALSE
368,5196,Google,TRUE,TRUE
403,5487,Twitter,FALSE,FALSE
405,5508,Google,TRUE,TRUE
406,5509,Google,TRUE,TRUE
407,5521,Google,FALSE,FALSE
408,5529,Google,FALSE,FALSE
409,5532,Google,FALSE,FALSE
410,5538,Google,FALSE,FALSE
411,5553,Twitter,FALSE,FALSE
412,5554,Twitter,FALSE,FALSE
413,5579,Google,FALSE,FALSE
414,5580,Twitter,FALSE,FALSE
415,5588,Twitter,FALSE,FALSE
416,5591,Google,FALSE,FALSE
452,5879,Twitter,FALSE,FALSE
418,5595,Twitter,FALSE,FALSE
419,5636,Google,TRUE,TRUE
420,5641,Twitter,TRUE,TRUE
421,5650,Google,TRUE,TRUE
422,5653,Twitter,FALSE,FALSE
423,5655,Twitter,FALSE,FALSE
424,5656,Twitter,FALSE,FALSE
425,5658,Google,TRUE,TRUE
426,5663,Google,TRUE,TRUE
427,5700,Google,TRUE,TRUE
428,5703,Twitter,FALSE,FALSE
453,5888,Twitter,FALSE,FALSE
429,5716,Twitter,TRUE,TRUE
430,5725,Google,FALSE,FALSE
454,5901,Twitter,FALSE,FALSE
431,5726,Twitter,TRUE,TRUE
432,5727,Google,TRUE,TRUE
433,5737,Twitter,FALSE,FALSE
434,5739,Twitter,FALSE,FALSE
435,5741,Google,FALSE,FALSE
436,5745,Twitter,FALSE,FALSE
437,5748,Google,TRUE,TRUE
438,5772,Google,TRUE,TRUE
439,5777,Google,FALSE,FALSE
417,5594,Google,TRUE,TRUE
440,5788,Google,TRUE,TRUE
441,5803,Google,FALSE,FALSE
442,5806,Google,TRUE,TRUE
404,5495,Google,TRUE,TRUE
456,5907,Google,FALSE,FALSE
457,5910,Twitter,FALSE,FALSE
458,5912,Google,FALSE,FALSE
482,6088,Twitter,TRUE,TRUE
443,5814,Google,TRUE,TRUE
444,5828,Twitter,FALSE,FALSE
483,6101,Twitter,FALSE,FALSE
455,5906,Twitter,TRUE,TRUE
459,5919,Google,FALSE,FALSE
460,5921,Google,FALSE,FALSE
484,6129,Twitter,FALSE,FALSE
461,5936,Twitter,TRUE,TRUE
462,5944,Google,TRUE,TRUE
463,5963,Google,FALSE,FALSE
464,5965,Google,FALSE,FALSE
447,5843,Google,TRUE,TRUE
465,5977,Google,FALSE,FALSE
466,5981,Twitter,FALSE,FALSE
467,5989,Twitter,FALSE,FALSE
468,6001,Twitter,FALSE,FALSE
469,6015,Twitter,TRUE,TRUE
470,6019,Google,TRUE,TRUE
471,6033,Google,FALSE,FALSE
472,6035,Twitter,FALSE,FALSE
473,6043,Google,TRUE,TRUE
474,6050,Twitter,FALSE,FALSE
475,6055,Google,TRUE,TRUE
476,6057,Google,FALSE,FALSE
477,6063,Twitter,FALSE,FALSE
478,6064,Google,TRUE,TRUE
479,6069,Twitter,FALSE,FALSE
480,6081,Twitter,TRUE,TRUE
492,6168,Google,TRUE,TRUE
485,6132,Twitter,TRUE,TRUE
486,6144,Twitter,FALSE,FALSE
487,6149,Google,TRUE,TRUE
488,6162,Google,FALSE,FALSE
489,6163,Google,FALSE,FALSE
490,6166,Twitter,TRUE,TRUE
491,6167,Twitter,TRUE,TRUE
493,6181,Twitter,FALSE,FALSE
494,6188,Twitter,FALSE,FALSE
495,6191,Google,FALSE,FALSE
496,6193,Google,FALSE,FALSE
497,6209,Google,FALSE,FALSE
498,6212,Twitter,FALSE,FALSE
499,6214,Google,FALSE,FALSE
500,6220,Twitter,FALSE,FALSE
501,6222,Google,FALSE,FALSE
502,6231,Google,TRUE,TRUE
503,6233,Twitter,FALSE,FALSE
504,6238,Twitter,FALSE,FALSE
505,6241,Google,FALSE,FALSE
508,6273,Twitter,FALSE,FALSE
506,6250,Google,TRUE,TRUE
507,6256,Twitter,FALSE,FALSE
509,6275,Google,FALSE,FALSE
510,6286,Google,FALSE,FALSE
511,6297,Twitter,FALSE,FALSE
512,6301,Google,TRUE,TRUE
513,6304,Twitter,FALSE,FALSE
514,6307,Google,TRUE,TRUE
515,6327,Twitter,FALSE,FALSE
548,6364,Twitter,FALSE,FALSE
549,6367,Google,TRUE,TRUE
550,6371,Google,FALSE,FALSE
645,7084,Google,TRUE,TRUE
552,6383,Google,TRUE,TRUE
553,6390,Google,FALSE,FALSE
554,6395,Google,TRUE,TRUE
556,6400,Twitter,FALSE,FALSE
557,6405,Google,FALSE,FALSE
