id,created_at,edited_at,fecha_hora,persona_id,tipo_id,texto,content_type_id,object_id,periodo_id
101,2010-03-25 20:23:18.263187,2010-03-25 20:23:18.263217,2010-03-25 20:23:18.263232,134,3,NA,55,61270,NA
102,2010-03-25 20:23:18.347543,2010-03-25 20:23:18.347568,2010-03-25 20:23:18.347583,135,3,NA,55,61271,NA
103,2010-03-25 20:23:18.372903,2010-03-25 20:23:18.372924,2010-03-25 20:23:18.372940,136,3,NA,55,61272,NA
104,2010-03-25 20:23:18.396840,2010-03-25 20:23:18.396863,2010-03-25 20:23:18.396879,137,3,NA,55,61273,NA
105,2010-03-25 20:23:18.415861,2010-03-25 20:23:18.415880,2010-03-25 20:23:18.415895,482,3,NA,55,61274,NA
106,2010-03-25 20:23:18.454525,2010-03-25 20:23:18.454544,2010-03-25 20:23:18.454560,484,3,NA,55,61275,NA
107,2010-03-25 20:23:18.473441,2010-03-25 20:23:18.473464,2010-03-25 20:23:18.473480,140,3,NA,55,61276,NA
108,2010-03-25 20:23:18.527542,2010-03-25 20:23:18.527566,2010-03-25 20:23:18.527581,133,3,NA,55,61277,NA
109,2010-03-25 20:23:18.605886,2010-03-25 20:23:18.605906,2010-03-25 20:23:18.605921,141,3,NA,55,61278,NA
110,2010-03-25 20:23:18.628689,2010-03-25 20:23:18.628711,2010-03-25 20:23:18.628726,1184,3,NA,55,61279,NA
111,2010-03-25 20:23:18.650264,2010-03-25 20:23:18.650284,2010-03-25 20:23:18.650299,507,3,NA,55,61280,NA
112,2010-03-25 20:23:18.707128,2010-03-25 20:23:18.707150,2010-03-25 20:23:18.707165,512,3,NA,55,61281,NA
113,2010-03-25 20:23:18.748876,2010-03-25 20:23:18.748895,2010-03-25 20:23:18.748910,1228,3,NA,55,61282,NA
114,2010-03-25 20:23:18.771041,2010-03-25 20:23:18.771065,2010-03-25 20:23:18.771080,567,3,NA,55,61283,NA
115,2010-03-25 20:23:18.825066,2010-03-25 20:23:18.825091,2010-03-25 20:23:18.825106,142,3,NA,55,61284,NA
116,2010-03-25 20:23:18.892986,2010-03-25 20:23:18.893009,2010-03-25 20:23:18.893024,145,3,NA,55,61285,NA
117,2010-03-25 20:23:18.970403,2010-03-25 20:23:18.970424,2010-03-25 20:23:18.970438,146,3,NA,55,61286,NA
118,2010-03-25 20:23:18.994114,2010-03-25 20:23:18.994133,2010-03-25 20:23:18.994148,147,3,NA,55,61287,NA
119,2010-03-25 20:23:19.076694,2010-03-25 20:23:19.076718,2010-03-25 20:23:19.076733,1195,3,NA,55,61288,NA
