id,titulo,texto,img,activo,orden,link
254,"""Como mujeres debemos ir más allá y trabajar de la mano con mujeres de otras esferas diferentes al Congreso""","Congreso Visible entrevistó a la representante Nancy Denise Castillo, presidenta de la Comisión Legal para la Equidad de la Mujer.",uploads/imgs/personas/Banner_EntrevistaNDC.jpg,FALSE,45,http://bit.ly/V9p9m1
118,Primer debate para prohibir el aborto,La Comisión I de Senado comenzará este martes a las 10 de la mañana la discusión sobre el proyecto de acto legislativo No. 06/11 que busca penalizar el aborto bajo cualquier circunstancia.,uploads/imgs/personas/Aborto.jpg,FALSE,158,http://bit.ly/pZexwv
5,¿Ya te registraste en la página web de CV?,"Nuestros usuarios pueden dejar sus comentarios sobre la actividad legislativa o hacerle una pregunta a su congresista. También puedes ingresar con tu cuenta de Facebook, Twitter o Gmail.",uploads/imgs/personas/Registro.jpg.jpg,FALSE,105,NA
14,El 16 de marzo comenzaron las sesiones ordinarias,"Senadores y representantes continuarán, ahora en sesiones ordinarias, el debate y votación de proyectos importantes como la Ley de Víctimas, el Estatuto Anticorrupción y el PND.",uploads/imgs/personas/congreso.jpg,FALSE,248,NA
112,Al banquillo las concesiones viales,"Con la participación del Ministro de Transporte y de tres funcionarios más del sector, la Comisión VI de Senado debatirá este miércoles sobre el estado actual de los contratos de concesión vial del país.",uploads/imgs/personas/Concesionesviales.jpg,FALSE,144,http://bit.ly/sCb0bg
127,Comisión VII de Senado debate igualdad salarial entre hombres y mujeres,La iniciativa es promovida por la bancada del Movimiento MIRA con el fin de promover la discriminación salarial entre géneros. El proyecto de ley se encuentra en tercer debate.,uploads/imgs/personas/HM_.jpg,FALSE,135,http://bit.ly/oTD0PT
264,Conozca la agenda legislativa en materia de género,"Se discutirá sobre reforma a la salud, pensión de sobreviviente, prostitución, vivienda, protección a la mujer en estado de embarazo, entre otros temas",uploads/imgs/personas/Agenda_temas_de_Género.jpg,FALSE,31,http://bit.ly/15KHH7w
283,Sigue al instante lo que sucede con la Reforma a la Salud en la Plenaria de Cámara,"En general la controversia se ha centrado en aspectos como la sostenibilidad fiscal y la tutela, entre otros",uploads/imgs/personas/Salud___.jpg,FALSE,30,http://bit.ly/129eTNG
126,Debate sobre la venta de la participación estatal en la EBSA,"La Plenaria del Senado citó este martes a los ministros de Hacienda, Protección Social y de Minas y Energía, además de otros funcionarios públicos, para discutir la enajenación de la participación del Estado en la  Empresa de Energía de Boyacá.",uploads/imgs/personas/EBSA.jpg,FALSE,151,http://bit.ly/nRZxmm
223,Senadora Gloria Inés Ramírez radica proyecto de ley para tipificar el Feminicidio como delito,"El agresor tendría cárcel, perdería la patria potestad, sería inhabilitado laboralmente, entre otras medidas.",uploads/imgs/personas/Feminicidio1.jpg,FALSE,72,http://bit.ly/OFFX2E
140,Menos trámites en entidades estatales,"Este jueves continúa el tercer debate al proyecto 264/11 de Cámara, que busca racionalizar los trámites y procedimientos en los organismos del Estado.",uploads/imgs/personas/tramites.jpg,FALSE,126,http://bit.ly/rHgyvP
236,Lanzamiento de la Alianza Congreso Visible y Valle Visible,"El Viernes 12 de Octubre, en la ciudad Santiago de Cali, se lanzará la alianza entre Congreso Visible y Valle Visible",uploads/imgs/personas/IMG_0008_2.jpg,FALSE,55,http://www.congresovisible.org/agora/post/lanzamiento-de-la-alianza-congreso-visible-y-valle-visible/4281/
4,Opinión e investigación en Ágora,¡La nueva sección de CV ya está lista! Revísala y deja tus comentarios sobre los blogs y artículos de análisis realizados por nuestras organizaciones aliadas y por el equipo de CV.,uploads/imgs/personas/Agora.jpg,FALSE,251,NA
