id,proyecto_ley_estado_id,comision_id
13678,41423,3
13740,44729,1
13796,44784,7
13833,43752,11
13892,42618,11
13933,44221,8
1028,29540,7
13984,43761,4
14085,45258,5
1051,22957,9
1071,22771,4
1076,23749,1
1099,22612,8
1131,17819,9
1147,25225,11
1156,17687,12
1163,17519,3
6307,36930,4
1180,17574,12
1195,17436,6
1196,17405,6
1212,17342,11
1222,17256,14
13679,41439,3
13741,44730,1
13797,44785,7
13834,43844,11
13893,42617,11
13934,44142,8
13985,43762,4
14086,45259,1
1267,17703,1
1285,16958,11
1297,6334,12
1298,6334,13
1299,6334,10
1300,6334,8
1304,17166,4
1311,11955,11
1330,15786,13
1331,14741,5
1348,14192,4
1349,14185,7
1356,17230,8
1364,14485,5
1366,14051,14
1369,14125,3
1373,14437,14
1381,11616,7
1387,14055,7
1393,14011,9
1396,11035,2
1400,14037,3
1403,13963,9
1404,14156,6
1405,13967,6
1406,13955,6
1407,13954,6
1408,29475,7
1411,13965,6
1417,14118,9
1419,13872,14
13624,44657,12
1430,13692,3
13680,41508,3
13742,44731,1
1433,13636,3
1434,13777,14
1435,13689,6
1436,17697,3
1437,13697,3
1438,13635,3
13798,44786,7
13894,42871,11
1443,13741,4
1444,13685,10
1445,13857,2
1448,13960,4
1459,13638,14
1461,13615,1
1462,13853,6
1467,13906,6
1468,13943,2
1471,13619,1
1472,13742,4
1474,13671,6
1475,13654,6
1477,13630,5
1478,13739,2
1479,13540,4
1484,13557,4
1485,13558,4
1486,13556,4
1488,13498,2
1489,13493,2
1490,13492,4
1491,13488,3
1495,14094,6
1497,13828,2
1498,11618,2
1500,13487,3
1501,13501,2
1502,13484,13
1504,11723,12
1505,13523,14
1507,14057,8
1508,13553,2
1509,13155,7
1514,13079,7
1516,13170,3
1517,13391,4
1519,13524,4
1527,12930,8
1528,12987,13
1529,12932,8
1530,13109,4
1531,9929,8
1532,13535,4
1533,12929,8
1538,12744,4
1544,11736,12
1550,11983,1
1551,11982,1
1552,12889,4
1553,13294,1
1558,13271,12
1559,12263,1
1566,12355,9
1567,11862,11
1569,12294,6
1570,12296,6
1572,12891,4
1578,12001,1
1580,11854,11
1581,12216,4
1584,12315,13
1585,11663,13
1589,12634,11
1595,11729,2
1596,11729,14
1602,10327,8
1603,11923,5
1604,28386,4
1605,11844,11
1612,12415,6
1613,13227,6
1614,11520,4
1615,11364,7
1623,11781,10
1625,11826,11
1627,11924,1
1628,11788,10
1629,12374,11
1631,10299,11
1632,13455,11
1634,11016,7
13681,41430,3
1636,11217,7
13743,44733,1
1638,11793,3
1639,11813,13
1640,11617,9
1641,11970,7
1642,11239,6
13799,44787,7
1644,11718,5
1645,11033,12
13836,44817,7
13895,43946,5
1651,10932,7
1652,11306,11
14088,45260,3
1654,11687,11
1655,17190,7
1659,11679,11
1660,10727,7
1661,12163,7
1662,13309,7
1663,10816,7
1664,11122,4
1665,11466,11
1666,11458,4
1668,11013,4
1669,11013,11
1670,10544,7
1671,11900,10
1672,9988,3
1673,11222,3
1674,12097,3
1675,11883,10
1676,11207,10
1677,11245,3
1678,12051,3
1679,12628,3
1680,12850,3
1681,11206,10
1682,10637,10
1683,10610,10
1684,12185,4
1685,12309,12
1686,12200,4
1687,12112,13
1688,9912,13
1689,12156,2
1690,9936,13
1691,10646,6
1692,10979,12
1693,11214,2
1694,11762,2
1695,13262,12
1696,21122,13
1697,21117,13
1698,12172,2
1699,29438,2
1700,12137,2
1701,10619,12
1702,12588,13
1703,12445,6
1704,21382,6
1705,12527,2
1706,11621,6
1707,12007,11
1708,11009,6
1709,12433,6
1710,12444,6
1711,12056,14
1712,12029,14
1713,10865,1
1714,10459,7
1715,10777,7
1716,11977,7
1717,11475,7
1718,20898,14
1719,10415,9
1720,10424,7
1721,10424,1
1722,10958,2
1723,20870,14
1724,12023,11
1725,11211,2
1726,20882,14
1727,10361,2
1728,12045,14
1729,12088,14
1730,10432,1
1731,12146,1
1732,10639,4
1733,12037,1
1734,20966,14
1735,13042,1
1736,10805,11
1737,10443,7
1738,10380,2
1739,12064,5
1740,12135,6
1741,11074,11
1742,20992,8
1743,10648,9
1744,21289,8
1745,8054,8
1746,10548,9
