id,created_at,updated_at,nombre,fecha_fundacion,direccion,direccion,estatutos
195,2014-02-13 15:53:28.145133,2014-07-22 11:17:35.615038,Fundacion para el Desarrollo la Solidaridad y la Integracion de las Comunidades Negras de Colombia,NA,NA,NA,NA
2,2009-11-25 09:17:53.000000,2014-12-16 17:03:00.749943,Liberal Colombiano,1848-07-16,NA,NA,http://bit.ly/hWqyzd
139,2012-08-21 17:25:26.000796,2014-11-26 20:39:29.541392,Bancada Afrocolombiana,2006-03-16,NA,NA,NA
128,2010-02-16 14:44:24.261201,2014-07-22 11:13:04.759569,Asopra,NA,NA,NA,NA
154,2014-02-07 21:01:09.562401,2018-02-02 15:26:28.068263,Asodeportes - Asociación Colombiana de Entrenadores Deportivos y Profesionales,NA,NA,NA,NA
158,2014-02-07 21:35:46.345108,2018-02-02 15:31:12.132729,ANIC - Asociación Nacional Indígena de Colombia,NA,NA,NA,NA
159,2014-02-07 21:39:15.748691,2018-02-02 15:31:32.448246,Afrominga - Asociación Regional de Afrocolombianos La Minga,NA,NA,NA,NA
185,2014-02-10 17:32:56.204429,2018-02-02 15:34:30.318401,MAIS - Movimiento Alternativo Indígena y Social,NA,NA,NA,NA
165,2014-02-10 15:24:17.217881,2018-02-02 19:53:05.229131,Consejo Comunitario de los Corregimientos de San Antonio y El Castillo,NA,NA,NA,NA
144,2013-12-12 17:17:05.230152,2015-03-03 18:06:23.906752,Centro Democrático,2014-07-23,NA,NA,http://www.centrodemocratico.com/wp-content/uploads/2014/07/Estatutos-Centro-Democr%C3%A1tico-Final-Asamblea-15-de-Julio-2014.pdf
10,2009-11-25 09:17:54.000000,2016-09-27 15:02:06.495839,MIRA,2000-07-26,NA,NA,http://www.movimientomira.com/k2-tags/quienes-somos/institucional/estatutos-mira
198,2017-01-20 16:09:56.457626,2017-01-20 16:09:56.457711,Movimiento Popular Unido,NA,NA,NA,NA
199,2018-01-19 18:34:11.023763,2018-01-19 18:34:45.133057,Somos (Antes Partido Alas),NA,NA,NA,NA
200,2018-01-19 20:01:47.888974,2018-01-19 20:01:47.888995,Todos somos Colombia,2017-04-15,NA,NA,NA
147,2013-12-16 17:28:56.610184,2018-02-02 15:42:44.012741,MUIPC - Movimiento Unidad Indígena y Popular por Colombia,NA,NA,NA,NA
117,2010-01-19 17:57:28.186011,2018-02-02 15:42:50.701905,PIN - Partido de Integración Nacional,2009-11-09,NA,NA,http://partidoopcionciudadana.com/doc/estatutosopcionciudadana.pdf
201,2018-01-23 14:33:26.632934,2018-01-23 14:34:33.342579,Coalición Lista de la Decencia,NA,NA,NA,NA
202,2018-01-23 18:22:53.542148,2018-01-23 18:22:53.542217,Coalición por el Norte,NA,NA,NA,NA
206,2018-01-31 16:06:36.430219,2018-01-31 16:06:36.430288,Movimiento Político Soberanía,NA,NA,NA,NA
207,2018-01-31 16:14:53.852288,2018-01-31 16:14:53.852356,Autoridad Tradicional Casiyouren,NA,NA,NA,NA
208,2018-02-01 14:14:43.522276,2018-02-01 14:14:43.522366,UAIZSACOR Asociación de Cabildos y Autoridades Indígenas Zenúes,NA,NA,NA,NA
210,2018-02-01 14:24:16.046359,2018-02-01 14:24:16.046417,Fundación Taita Zipa,NA,NA,NA,NA
209,2018-02-01 14:19:43.103836,2018-02-01 14:30:23.550788,Anicol Asociación Nacional de Cabildos y Autoridades Indígenas en Colombia,NA,NA,NA,NA
212,2018-02-01 19:40:30.701671,2018-02-01 19:40:30.701733,Sí se puede (Grupo significativo de ciudadanos),NA,NA,NA,NA
51,2010-01-17 17:19:23.441439,2018-02-02 15:25:48.992813,Anapo - Alianza Nacional Popular,1961-01-01,NA,NA,NA
11,2009-11-25 09:17:54.000000,2018-02-02 15:30:09.156901,ASI - Alianza Social Independiente,1991-06-01,NA,NA,http://bit.ly/zR0BBg
203,2018-01-26 16:59:02.056474,2018-02-02 15:35:20.108352,FARC - Fuerza Alternativa Revolucionaria del Común,NA,NA,NA,NA
205,2018-01-31 16:01:11.575872,2018-02-02 15:36:48.298601,MIA - Movimiento Indígena Ambiental,NA,NA,NA,NA
189,2014-02-10 19:35:27.362833,2018-02-02 15:44:22.071304,Raíces - Renovación Étnica de Colombia,NA,NA,NA,NA
239,2018-02-05 16:24:09.127090,2018-02-05 16:24:09.127151,Organización Social de Comunidades Negras 'Nelson Mandela',NA,NA,NA,NA
240,2018-02-05 17:06:36.018986,2018-02-05 17:06:36.019017,Consejo Comunitario Imbilpí del Carmen,NA,NA,NA,NA
241,2018-02-05 17:42:44.497602,2018-02-05 17:42:44.497683,Funafropecor - Fundación Afrodescendiente Profesional de Córdoba,NA,NA,NA,NA
243,2018-02-05 17:54:49.475239,2018-02-05 17:54:49.475277,Consejo Comunitario del río Yurumanguí,NA,NA,NA,NA
244,2018-02-05 18:16:35.697794,2018-02-05 18:16:35.697839,Consejo Comunitario Los Andes,NA,NA,NA,NA
245,2018-02-05 18:23:46.278888,2018-02-05 18:23:46.278955,Consejo Comunitario de Comunidades Negras Santo Domingo,NA,NA,NA,NA
246,2018-02-07 15:11:28.093449,2018-02-07 15:11:28.093517,Funeco - Fundación Ébano de Colombia,NA,NA,NA,NA
211,2018-02-01 19:36:12.988094,2018-02-08 17:44:33.708903,Unión con Fortaleza (Grupo significativo de ciudadanos),2016-12-09,NA,NA,http://www.unionconfortaleza.com/ESTATUTOS
247,2018-03-07 16:57:01.935793,2018-03-07 16:57:01.935822,Coalición Colombia,NA,NA,NA,NA
9,2009-11-25 09:17:54.000000,2018-02-02 15:32:18.505511,AICO - Autoridades Indígenas de Colombia,1991-08-15,NA,NA,http://bit.ly/dEm253
110,2010-01-17 17:19:23.713804,2018-02-02 15:36:23.012052,MIO - Movimiento de Inclusión y Oportunidades,2011-05-03,Avenida 4 Norte N? 13 N - 85,Avenida 4 Norte N? 13 N - 85,http://bit.ly/pWtJZI
43,2010-01-17 17:19:23.395581,2018-02-02 15:37:41.924907,Moral - Movimiento Renovador de Acción Social,NA,Calle 26A N?3 - 55,Calle 26A N?3 - 55,NA
213,2018-02-02 15:47:20.810936,2018-02-02 15:47:20.811004,Consejo Comunitario Mayor de Cértegui,NA,NA,NA,NA
214,2018-02-02 16:21:52.174201,2018-02-02 16:21:52.174244,Consejo Comunitario Bocas del Atrato y Leoncito,NA,NA,NA,NA
215,2018-02-02 16:28:59.527176,2018-02-02 16:28:59.527204,Cenafro - Asociación Centro de Auto Reconocimiento Afrocolombiano,NA,NA,NA,NA
216,2018-02-02 16:34:29.106337,2018-02-02 16:34:29.106400,FAP- Fundación Amor y Paz,NA,NA,NA,NA
